,LINE,EXCLUDE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE,STATUS,COND-F
0,1,,#,"This file combines PV, IV and CV Morph info for EGY",,,https://docs.google.com/spreadsheets/d/1WnqYa4rS8CvuOsrKISO8ayEhmEPb76X84TWPaVV82HU/edit#gid=134851374,,,,,,,,,
1,2,,CONDITIONS,[STEM-X],#-A #-A' #-a> #-ay #-aY #-ih #-iy #-iy' #-uw #-uw' #^V #A' #n #t ,,,,,,,,,,,
2,3,,CONDITIONS,[X-ROOT],hollow defective gem hamzated ,,,,,,,,,,,
3,4,,CONDITIONS,[X-TRANS],intrans trans ditrans,,,,,,,,,,,
4,5,,CONDITIONS,[X-STEM],>-# >-a# >-o#,,,,,,,,,,,
5,6,,CONDITIONS,[PREF-X],yA-# ya-# yi-# yu-#,,,,,,,,,,,
6,7,,CONDITIONS,[X-PREF],h-pref,,,,,,,,,,,
7,8,,CONDITIONS,[X-SUFF.PHONE],c-suff v-suff n-suff,,,,,,,,,,,
8,9,,CONDITIONS,[X-SUFF.LETTER],A-suff w-suff y-suff z-suff,,,,,,,,,,,
9,10,,CONDITIONS,[X-SUFF.PHONE.V],u-suff a-suff i-suff,,,,,,,,,,,
10,11,,CONDITIONS,[SUFF-X],#^i #^iy #^V,,,,,,,,,,,
11,12,,CONDITIONS,[PRON-X],enc0#^i,,,,,,,,,,,
12,13,,CONDITIONS,[PRON:X],enc0:1* enc0:2*,,,,,,,,,,,
13,14,,CONDITIONS,[PRON:*],enc0,,,,,,,,,,,
14,15,,CONDITIONS,[PRON2:X],enc1:1* enc1:2*,,,,,,,,,,,
15,16,,CONDITIONS,[PRON2:*],enc1,,,,,,,,,,,
16,17,,CONDITIONS,[NEG:*],#NEG,,,,,,,,,,,
17,18,,,,,,,,,,,,,,,
18,19,,MORPH,[CONJ],_,_,_,EGY,_,prc2:0,_,_,_,,DONE,
19,20,RED,MORPH,[CONJ],fa/CONJ,fa,fa/CONJ,EGY,so/and,prc2:fa_conj,_,,fa+_,,DONE,
20,21,RED,MORPH,[CONJ],fa/PART_CONNECT,fa,fa/CONNEC_PART,EGY,so/then,prc2:fa_conn,_,_,fa+_,,DONE,
21,22,RED,MORPH,[CONJ],fa/PART_RC,fa,fa/RC_PART,EGY,so/then,prc2:fa_rc,_,_,fa+_,,DONE,
22,23,RED,MORPH,[CONJ],fa/CONJ_SUB,fa,fa/SUB_CONJ,EGY,because/therefore/as_a_result,prc2:fa_sub,_,_,fa+_,,DONE,
23,24,,MORPH,[CONJ],wi/CONJ,wi,wi/CONJ,EGY,and,prc2:wi_conj,_,_,wi+_,,DONE,
24,24,,MORPH,[CONJ],wi/PART,wi,wi/PART,EGY,and,prc2:wi_part,_,_,wi+_,,DONE,
25,24,,MORPH,[CONJ],wi/CONJ_SUB,wi,wi/SUB_CONJ,EGY,and,prc2:wi_sub,_,_,wi+_,,DONE,
26,25,,,,,,,,,,,,,,,
27,26,RED,MORPH,[PRENEG],_,_,_,EGY,_,prc1.5:0,_,_,_,,DONE PRC1.5? non-CODA,
28,27,RED,MORPH,[PRENEG],mA/PART_NEG,mA,mA/NEG_PART,EGY,_,prc1.5:mA_neg,_,_,mA_,,DONE PRC1.5? non-CODA,
29,27,RED,MORPH,[PRENEG],lA/PART_NEG,lA,lA/NEG_PART,EGY,_,prc1.5:lA_neg,_,_,lA_,,DONE PRC1.5? non-CODA,
30,28,,,,,,,,,,,,,,,
31,29,RED,MORPH,[VPART],_,_,_,EGY,_,prc1:0,,_,_,,DONE,
32,30,RED,MORPH,[VPART],b/PART_PROG,bi,bi/PROG_PART,EGY,will,prc1:bi_prog,_,_,b+_,بيمشي بامشي,DONE - Reham - bi or b as morpheme?,
33,31,RED,MORPH,[VPART],Ha/PART_FUT,Ha,Ha/FUT_PART,EGY,will,prc1:Ha_fut,_,_,Ha+_,حيمشي,DONE,
34,32,RED,MORPH,[VPART],ha/PART_FUT,ha,ha/FUT_PART,EGY,will,prc1:ha_fut,_,_,ha+_,هيمشي,DONE,
35,33,,#,Perfect Verb Stem Buffers,,,,,,,,,,,,
36,34,,MORPH,[PVBuff],Buffer,a>,a>/STEM,EGY,,,#-a> else,,a>,اتجرأ,DONE,
37,35,,MORPH,[PVBuff],Buffer,a&,a&/STEM,EGY,,,#-a> w-suff,,a&,اتجرؤوا,DONE,
38,36,,MORPH,[PVBuff],Buffer,a},a}/STEM,EGY,,,#-a> i-suff,,a},اتجرئِت,DONE,
39,37,,MORPH,[PVBuff],Buffer,ay,ay/STEM,EGY,,,gem c-suff,,ay,حبيت,DONE,
40,38,,MORPH,[PVBuff],Buffer,_,_,EGY,,,gem else,,_,حب، حبوا,DONE,
41,39,,MORPH,[PVBuff],Buffer,aY,aY/STEM,EGY,,,#-ay z-suff else,,aY,رمى,DONE,
42,40,,MORPH,[PVBuff],Buffer,aA,aA/STEM,EGY,,,#-ay z-suff enc0,,aA,رماه,DONE,
43,41,,MORPH,[PVBuff],Buffer,ay,ay/STEM,EGY,,,#-ay c-suff||A-suff,,ay,رميتي، رميت,DONE,
44,42,,MORPH,[PVBuff],Buffer,_,_,EGY,,,#-ay else,,_,رموا,DONE,
45,43,,MORPH,[PVBuff],Buffer,aA,aA/STEM,EGY,,,#-A z-suff,,aA,ابتدا,DONE,
46,44,,MORPH,[PVBuff],Buffer,ay,ay/STEM,EGY,,,#-A c-suff,,ay,ابتديت,DONE,
47,45,,MORPH,[PVBuff],Buffer,_,_,EGY,,,#-A else,,_,ابتدوا,DONE,
48,46,,MORPH,[PVBuff],Buffer,iy,iy/STEM,EGY,,,#-iy n-suff,#^V,iy,نسي,DONE,
49,47,,MORPH,[PVBuff],Buffer,ay,ay/STEM,EGY,,,#-iy c-suff,,iy,نسيت,DONE,
50,48,,MORPH,[PVBuff],Buffer,y,y/STEM,EGY,,,#-iy v-suff,,y,نسيوا نسيِت,Reham,
51,49,,MORPH,[PVBuff],Buffer,A',A'/STEM,EGY,,,#-A' else,,A',أضاء,Reham,
52,50,,MORPH,[PVBuff],Buffer,A&,A&/STEM,EGY,,,#-A' w-suff,,A',أضاء,Reham,
53,51,,MORPH,[PVBuff],Buffer,ay,ay/STEM,EGY,,,#-ih else,,,only jih,Reham,
54,52,,MORPH,[PVBuff],Buffer,ih,ih/STEM,EGY,,,#-ih n-suff,,,only jih,Reham,
55,53,,MORPH,[PVBuff],Buffer,_,_,EGY,,,#-ih a-suff||u-suff,,,only jih,Reham,
56,54,,MORPH,[PVBuff],Buffer,_,_,EGY,,,else,,_,كتب,DONE,
57,55,,#,Perfect Verb Suffixes,,,,,,,,,,,,
58,56,,MORPH,[PVSuff],PVSuff.1S,t,t/PVSUFF_SUBJ:1S,EGY,I,asp:p per:1 gen:u num:s,else,c-suff,t,كتبت,DONE,
59,57,,MORPH,[PVSuff],PVSuff.1S,~,~/PVSUFF_SUBJ:1S,EGY,I,asp:p per:1 gen:u num:s,#t,c-suff,~,سكت,DONE,
60,58,,MORPH,[PVSuff],PVSuff.1P,nA,nA/PVSUFF_SUBJ:1P,EGY,we,asp:p per:1 gen:u num:p,else !enc0:1* ,c-suff #^V,nA,كتبنا,DONE,
61,59,,MORPH,[PVSuff],PVSuff.1P,~A,~A/PVSUFF_SUBJ:1P,EGY,we,asp:p per:1 gen:u num:p,#n !enc0:1* ,c-suff #^V,~A,سكنا,DONE,
62,60,,MORPH,[PVSuff],PVSuff.2MS,t,t/PVSUFF_SUBJ:2MS,EGY,you_[masc.sg.],asp:p per:2 gen:m num:s,else !enc0:2* ,c-suff,t,كتبت,DONE,
63,61,,MORPH,[PVSuff],PVSuff.2MS,~,~/PVSUFF_SUBJ:2MS,EGY,you_[masc.sg.],asp:p per:2 gen:m num:s,#t !enc0:2*,c-suff,~,سكت,DONE,
64,62,,MORPH,[PVSuff],PVSuff.2P,tuwA,tuwA/PVSUFF_SUBJ:2P,EGY,you_[pl.],asp:p per:2 gen:u num:p,else !enc0:2* else,c-suff #^V,tuwA,كتبتوا,DONE,
65,63,,MORPH,[PVSuff],PVSuff.2P,tuw ,tuw/PVSUFF_SUBJ:2P,EGY,you_[pl.],asp:p per:2 gen:u num:p,else !enc0:2* enc0,c-suff #^V,tuwA,كتبتوها،كتبتوش,DONE,
66,64,,MORPH,[PVSuff],PVSuff.2P,~uwA,~uwA/PVSUFF_SUBJ:2P,EGY,you_[pl.],asp:p per:2 gen:u num:p,#t !enc0:2* else,c-suff #^V,~uwA,سكتوا,DONE,
67,65,,MORPH,[PVSuff],PVSuff.2P,~uw,~uw/PVSUFF_SUBJ:2P,EGY,you_[pl.],asp:p per:2 gen:u num:p,#t !enc0:2* enc0,c-suff #^V,~uwA,سكتوها,DONE,
68,66,,MORPH,[PVSuff],PVSuff.2FS,tiy,ti/PVSUFF_SUBJ:2FS,EGY,you_[fem.sg.],asp:p per:2 gen:f num:s,else !enc0:2* ,c-suff #^V,tiy,كتبتي,DONE,
69,67,,MORPH,[PVSuff],PVSuff.2FS,~iy,~i/PVSUFF_SUBJ:2FS,EGY,you_[fem.sg.],asp:p per:2 gen:f num:s,#t !enc0:2*,c-suff #^V,~iy,سكتي,DONE,
70,68,,MORPH,[PVSuff],PVSuff.3MS,_,(null)/PVSUFF_SUBJ:3MS,EGY,he_[masc.sg.],asp:p per:3 gen:m num:s,,n-suff z-suff,_,رمى، كتب,DONE,
71,69,,MORPH,[PVSuff],PVSuff.3FS,it,it/PVSUFF_SUBJ:3FS,EGY,she_[fem.sg.],asp:p per:3 gen:f num:s,else,v-suff i-suff,it,كتبت,DONE,
72,70,,MORPH,[PVSuff],PVSuff.3FS,at,at/PVSUFF_SUBJ:3FS,EGY,she_[fem.sg.],asp:p per:3 gen:f num:s,#-ih,v-suff a-suff,it,كتبت,DONE,
73,71,,MORPH,[PVSuff],PVSuff.3P,uwA,uwA/PVSUFF_SUBJ:3P,EGY,they,asp:p per:3 gen:u num:p,else else,v-suff w-suff #^V,uwA,كتبوا,DONE,
74,72,,MORPH,[PVSuff],PVSuff.3P,uw,uwA/PVSUFF_SUBJ:3P,EGY,they,asp:p per:3 gen:u num:p,else enc0,v-suff w-suff #^V,uwA,كتبوها،كتبوش,DONE,
75,73,,MORPH,[PVSuff],PVSuff.3P,um,um/PVSUFF_SUBJ:3P,EGY,they,asp:p per:3 gen:u num:p,#-ih else,v-suff u-suff #^V,uwA,كتبوها،كتبوش,DONE,
76,74,,#,Imperfect verb prefixes,,,,,,,,,,,,
77,75,,MORPH,[IVPref.1S],IVPref.1S,Aa,Aa/IV1S,EGY,I,asp:i per:1 gen:u num:s,else,h-pref,Aa,اكتب,DONE,
78,76,,MORPH,[IVPref.1S],IVPref.1S,|,|/IV1S,EGY,I,asp:i per:1 gen:u num:s,yA-#,h-pref,|,آكل,DONE,
79,77,,MORPH,[IVPref.1P],IVPref.1P,n,n/IV1P,EGY,we,asp:i per:1 gen:u num:p,!enc0:1*,,n,نكتب,DONE,
80,78,,MORPH,[IVPref.2MS],IVPref.2MS,t,t/IV2MS,EGY,you_[masc.sg.],asp:i per:2 gen:m num:s,!enc0:2*,,t,تكتب,DONE,
81,79,,MORPH,[IVPref.2FS],IVPref.2FS,t,t/IV2FS,EGY,you_[fem.sg.],asp:i per:2 gen:f num:s,!enc0:2*,,t,تكتبي,DONE,
82,80,,MORPH,[IVPref.2P],IVPref.2P,t,t/IV2P,EGY,you_[pl.],asp:i per:2 gen:u num:p,!enc0:2*,,t,تكتب,DONE,
83,81,,MORPH,[IVPref.3MS],IVPref.3MS,y,y/IV3MS,EGY,he_[masc.sg.],asp:i per:3 gen:m num:s,,,y,يكتب,DONE,
84,82,,MORPH,[IVPref.3P],IVPref.3P,y,y/IV3P,EGY,they,asp:i per:3 gen:u num:p,,,y,يكتب,DONE,
85,83,,MORPH,[IVPref.3FS],IVPref.3FS,t,t/IV3FS,EGY,she_[fem.sg.],asp:i per:3 gen:f num:s,,,t,تكتب,DONE,
86,84,,,,,,,,,,,,,,,
87,85,,#,Imperfect verb pre-stem buffer,,,,,,,,,,,,
88,86,,MORPH,[IVPreBuff],Buffer,_,,EGY,,,h-pref ,,_,امشي اكتب آخذ ,DONE,
89,87,,MORPH,[IVPreBuff],Buffer,i,i/STEM,EGY,,,else else,,i,يمشي يكتب,DONE>> yi-#,
90,88,,MORPH,[IVPreBuff],Buffer,A,A/STEM,EGY,,,else yA-#,,A,ياكل,DONE,
91,89,,MORPH,[IVPreBuff],Buffer,a,a/STEM,EGY,,,else ya-#,,a,يعني,DONE,
92,90,,MORPH,[IVPreBuff],Buffer,u,u/STEM,EGY,,,else yu-# ,,u,يقول، يحط,DONE,
93,91,,,,,,,,,,,,,,,
94,92,,#,Imperfect verb post-stem buffer,,,,,,,,,,,,
95,93,,MORPH,[IVBuff],Buffer,_,_,EGY,,,#-A w-suff||y-suff,,_,تقري تقروا,DONE,
96,94,,MORPH,[IVBuff],Buffer,A,A/STEM,EGY,,,#-A z-suff else,,A,تقرا نقرا,DONE,
97,95,,MORPH,[IVBuff],Buffer,_,_,EGY,,,#-aY w-suff||y-suff,,_,تنسوا تنسي,DONE,
98,96,,MORPH,[IVBuff],Buffer,aY,aY/STEM,EGY,,,#-aY z-suff !enc0,,aY,تنسى,DONE,
99,97,,MORPH,[IVBuff],Buffer,A,aY/STEM,EGY,,,#-aY z-suff enc0,,A,تنساه,DONE,
100,98,,MORPH,[IVBuff],Buffer,uw,uw/STEM,EGY,,,#-uw else,,uw,ارجو,DONE,
101,99,,MORPH,[IVBuff],Buffer,_,_,EGY,,,#-uw w-suff||y-suff,,_,يرجوا ترجي,DONE,
102,100,,MORPH,[IVBuff],Buffer,iy,iy/STEM,EGY,,,#-iy else,,iy,ترمي,DONE,
103,101,,MORPH,[IVBuff],Buffer,_,_,EGY,,,#-iy w-suff||y-suff,,_,ترموا ترمي,DONE,
104,102,,MORPH,[IVBuff],Buffer,a>,a>/STEM,EGY,,,#-a> else,,a>,تجزأَ,DONE,
105,103,,MORPH,[IVBuff],Buffer,a&,a&/STEM,EGY,,,#-a> w-suff,,a&,تجزؤوا,DONE,
106,104,,MORPH,[IVBuff],Buffer,a},a}/STEM,EGY,,,#-a> y-suff,,a},تجزئي,DONE,
107,105,,MORPH,[IVBuff],Buffer,A&,A&/STEM,EGY,,,#-A' w-suff,,A&,يشاؤوا,DONE,
108,106,,MORPH,[IVBuff],Buffer,A},A}/STEM,EGY,,,#-A' y-suff,,A},تشائي,DONE,
109,107,,MORPH,[IVBuff],Buffer,A',A'/STEM,EGY,,,#-A' else,,A',يشاء,DONE,
110,108,,MORPH,[IVBuff],Buffer,uw},uw}/STEM,EGY,,,#-uw' w-suff||y-suff,,uw},تسوئوا تسوئي,DONE,
111,109,,MORPH,[IVBuff],Buffer,uw',uw'/STEM,EGY,,,#-uw' z-suff,,uw',نسوء,DONE,
112,110,,MORPH,[IVBuff],Buffer,iy},iy}/STEM,EGY,,,#-iy' else,,iy},تسيئوا تسيئي,DONE,
113,111,,MORPH,[IVBuff],Buffer,iy',iy'/STEM,EGY,,,#-iy' z-suff else,,iy',نسيء,DONE,
114,112,,MORPH,[IVBuff],Buffer,iy},iy}/STEM,EGY,,,#-iy' z-suff enc0,,iy},نسيئها,DONE,
115,113,,MORPH,[IVBuff],Buffer,_,_,EGY,,,else,_,_,,DONE,
116,114,,#,Imperfective Verb Suffixes,,,,,,,,,,,,
117,115,,MORPH,[IVSuff.1P],IVSuff.1P,_,(null)/IVSUFF_SUBJ:1P,EGY,[pl.],asp:i per:1 gen:u num:p mod:i,,z-suff n-suff,_,نكتب,DONE,
118,116,,MORPH,[IVSuff.1S],IVSuff.1S,_,(null)/IVSUFF_SUBJ:1S,EGY,[sg.],asp:i per:1 gen:u num:s mod:i,,z-suff n-suff,_,أكتب,DONE,
119,117,,MORPH,[IVSuff.2MS],IVSuff.2MS,_,(null)/IVSUFF_SUBJ:2MS,EGY,[masc.sg.],asp:i per:2 gen:m num:s mod:i,,z-suff n-suff,_,تكتب,DONE,
120,118,,MORPH,[IVSuff.2FS],IVSuff.2FS,iy,iy/IVSUFF_SUBJ:2FS,EGY,[fem.sg.],asp:i per:2 gen:f num:s mod:i,,v-suff y-suff #^V,iy,تكتبي,DONE,
121,119,,MORPH,[IVSuff.2P],IVSuff.2P,uwA,uwA/IVSUFF_SUBJ:2P,EGY,[masc.pl.],asp:i per:2 gen:u num:p mod:i,else,v-suff w-suff #^V,uwA,تكتبوا,DONE,
122,120,,MORPH,[IVSuff.2P],IVSuff.2P,uw,uw/IVSUFF_SUBJ:2P,EGY,[masc.pl.],asp:i per:2 gen:u num:p mod:i,enc0,v-suff w-suff #^V,uwA,تكتبو,DONE,
123,121,,MORPH,[IVSuff.3MS],IVSuff.3MS,_,(null)/IVSUFF_SUBJ:3MS,EGY,[masc.sg.],asp:i per:3 gen:m num:s mod:i,,z-suff n-suff,_,يكتب,DONE,
124,122,,MORPH,[IVSuff.3FS],IVSuff.3FS,_,(null)/IVSUFF_SUBJ:3FS,EGY,[fem.sg.],asp:i per:3 gen:f num:s mod:i,,z-suff n-suff,_,تكتب,DONE,
125,123,,MORPH,[IVSuff.3P],IVSuff.3P,uwA,uwA/IVSUFF_SUBJ:3P,EGY,[masc.pl.],asp:i per:3 gen:u num:p mod:i,else,v-suff w-suff #^V,uwA,يكتبوا,DONE,
126,124,,MORPH,[IVSuff.3P],IVSuff.3P,uw,uwA/IVSUFF_SUBJ:3P,EGY,[masc.pl.],asp:i per:3 gen:u num:p mod:i,enc0,v-suff w-suff #^V,uwA,يكتبو,DONE,
127,125,,#,Command Verb Stem Buffers,,,,,,,,,,,,
128,126,,MORPH,[CVBuff],Buffer,_,_,EGY,,,#-A w-suff||y-suff,,_,اقري اقروا,DONE,
129,127,,MORPH,[CVBuff],Buffer,A,A/STEM,EGY,,,#-A z-suff else,,A,اقرا,DONE,
130,128,,MORPH,[CVBuff],Buffer,_,_,EGY,,,#-aY w-suff||y-suff,,_,انسواانسي,DONE,
131,129,,MORPH,[CVBuff],Buffer,aY,aY/STEM,EGY,,,#-aY z-suff !enc0,,aY,انسى,DONE,
132,130,,MORPH,[CVBuff],Buffer,A,aY/STEM,EGY,,,#-aY z-suff enc0,,A,انساه,DONE,
133,131,,MORPH,[CVBuff],Buffer,uw,uw/STEM,EGY,,,#-uw else,,uw,ارجو,DONE,
134,132,,MORPH,[CVBuff],Buffer,_,_,EGY,,,#-uw w-suff||y-suff,,_,ارجوا ارجي,DONE,
135,133,,MORPH,[CVBuff],Buffer,iy,iy/STEM,EGY,,,#-iy else,,iy,ارمي,DONE,
136,134,,MORPH,[CVBuff],Buffer,_,_,EGY,,,#-iy w-suff||y-suff,,_,ارموا ارمي,DONE,
137,135,,MORPH,[CVBuff],Buffer,a>,a>/STEM,EGY,,,#-a> else,,a>,جزأَ,DONE,
138,136,,MORPH,[CVBuff],Buffer,a&,a&/STEM,EGY,,,#-a> w-suff,,a&,جزؤوا,DONE,
139,137,,MORPH,[CVBuff],Buffer,a},a}/STEM,EGY,,,#-a> y-suff,,a},جزئي,DONE,
140,138,,MORPH,[CVBuff],Buffer,A&,A&/STEM,EGY,,,#-A' w-suff,,A&,,DONE,
141,139,,MORPH,[CVBuff],Buffer,A},A}/STEM,EGY,,,#-A' y-suff,,A},,DONE,
142,140,,MORPH,[CVBuff],Buffer,A',A'/STEM,EGY,,,#-A' else,,A',,DONE,
143,141,,MORPH,[CVBuff],Buffer,uw},uw}/STEM,EGY,,,#-uw' w-suff||y-suff,,uw},,DONE,
144,142,,MORPH,[CVBuff],Buffer,uw',uw'/STEM,EGY,,,#-uw' z-suff,,uw',,DONE,
145,143,,MORPH,[CVBuff],Buffer,iy},iy}/STEM,EGY,,,#-iy' else,,iy},سيئوا سيئي,DONE,
146,144,,MORPH,[CVBuff],Buffer,iy',iy'/STEM,EGY,,,#-iy' z-suff else,,iy',سيء,DONE,
147,145,,MORPH,[CVBuff],Buffer,iy},iy}/STEM,EGY,,,#-iy' z-suff enc0,,iy},سيئها,DONE,
148,146,,,,,,,,,,,,,,,
149,147,,,,,,,,,,,,,,,
150,148,,,,,,,,,,,,,,,
151,149,,MORPH,[CVBuff],Buffer,_,_,EGY,,,else,_,_,جيئا جيئي جيئوا,DONE,
152,150,,#,Command Verb Suffixes,,,,,,,,,,,,
153,151,,MORPH,[CVSuff],CVSuff.2MS,_,(null)/CVSUFF_SUBJ:2MS,EGY,[masc.sg.],asp:c per:2 gen:m num:s mod:i,,z-suff,_,اكتب,DONE,
154,152,,MORPH,[CVSuff],CVSuff.2FS,iy,iy/CVSUFF_SUBJ:2FS,EGY,[fem.sg.],asp:c per:2 gen:f num:s mod:i,,v-suff y-suff #^V,iy,اكتبي,DONE,
155,153,,MORPH,[CVSuff],CVSuff.2P,uwA,uwA/CVSUFF_SUBJ:2P,EGY,[masc.pl.],asp:c per:2 gen:u num:p mod:i,else,v-suff w-suff #^V,uwA,اكتبوا,DONE,
156,154,,MORPH,[CVSuff],CVSuff.2P,uw,uwA/CVSUFF_SUBJ:2P,EGY,[masc.pl.],asp:c per:2 gen:u num:p mod:i,enc0||enc1,v-suff w-suff #^V,uwA,اكتبوها,DONE,
157,155,,#,Pronomonial clitics,,,,,,,,,,,,
158,156,,MORPH,[PRON],_,_,_,,_,enc0:0,,_,_,,DONE,
159,157,RED,MORPH,[PRON] ,niy/PRON.1S,i#niy,niy/XVSUFF_DO:1S,EGY,me,enc0:1s_dobj,trans,enc0 enc0:1*,_+niy,,DONE,
160,158,RED,MORPH,[PRON] ,nA/PRON.1P,i#nA,nA/XVSUFF_DO:1P,EGY,us,enc0:1p_dobj,trans,enc0 enc0:1*,_+nA,,DONE,
161,159,RED,MORPH,[PRON] ,ak/PRON.2MS,a#k,ak/XVSUFF_DO:2MS,EGY,you [masc.sg.],enc0:2ms_dobj,trans,enc0 enc0:2*,_+ak,,DONE,
162,160,RED,MORPH,[PRON] ,ik/PRON.2FS,ik,ik/XVSUFF_DO:2FS,EGY,you [fem.sg.],enc0:2fs_dobj,trans else,enc0 enc0:2*,_+ik,,DONE,
163,161,RED,MORPH,[PRON] ,ik/PRON.2FS,i#kiy,kiy/XVSUFF_DO:2FS,EGY,you [fem.sg.],enc0:2fs_dobj,trans #^V,enc0 enc0:2*,_+ik,,DONE,
164,162,RED,MORPH,[PRON] ,ik/PRON.2FS,i#kiy,kiy/XVSUFF_DO:2FS,EGY,you [fem.sg.],enc0:2fs_dobj,trans #NEG,enc0 enc0:2*,_+ik,,DONE,
165,163,RED,MORPH,[PRON] ,kuw/PRON.2P,u#kuw,kuw/XVSUFF_DO:2P,EGY,you,enc0:2p_dobj,trans,enc0 enc0:2*,_+kuw,,DONE,
166,164,,MORPH,[PRON] ,uh/PRON.3MS,u#h,uh/XVSUFF_DO:3MS,EGY,him,enc0:3ms_dobj,trans else,enc0,_+uh,,DONE,
167,165,RED,MORPH,[PRON] ,uh/PRON.3MS,u#huw,uh/XVSUFF_DO:3MS,EGY,him,enc0:3ms_dobj,trans #NEG,enc0,_+uh,,DONE,
168,166,RED,MORPH,[PRON] ,hA/PRON.3FS,a#hA,hA/XVSUFF_DO:3FS,EGY,her,enc0:3fs_dobj,trans,enc0,_+hA,,DONE,
169,167,RED,MORPH,[PRON] ,hum/PRON.3P,u#hum ,hum/XVSUFF_DO:3P,EGY,them,enc0:3p_dobj,trans,enc0,_+hum,,DONE,
170,168,,,,,,,,,,,,,,,
171,169,,#,Indirect Pronomonial clitics - li+PRON : independent of PRON; except that 1st and 2nd person cannot co-appear with the same person,,,,,,,,,,,,
172,170,RED,MORPH,[LPRON],_,_,_,,_,enc1:0,_,_,_,,DONE,
173,171,RED,MORPH,[LPRON],l/PREP+iy/PRON.1S,l#iy,l/PREP+iy/XVSUFF_IO:1S,EGY,to/for me,enc1:1s_iobj,!enc0:1*,enc1 enc1:1*,_l_+iy,,DONE,
174,172,RED,MORPH,[LPRON],l/PREP+nA/PRON.1P,li#nA,l/PREP+nA/XVSUFF_IO:1P,EGY,to/for us,enc1:1p_iobj,!enc0:1*,enc1 enc1:1*,_l_+nA,,DONE,
175,173,RED,MORPH,[LPRON],l/PREP+ak/PRON.2MS,la#k,l/PREP+ak/XVSUFF_IO:2MS,EGY,to/for you [masc.sg.],enc1:2ms_iobj,!enc0:2*,enc1 enc1:2*,_l_+ak,,DONE,
176,174,RED,MORPH,[LPRON],l/PREP+ik/PRON.2FS,lik,l/PREP+ik/XVSUFF_IO:2FS,EGY,to/for you [fem.sg.],enc1:2fs_iobj,!enc0:2* else,enc1 enc1:2*,_l_+ik,,DONE,
177,175,RED,MORPH,[LPRON],l/PREP+ik/PRON.2FS,li#kiy,l/PREP+kiy/XVSUFF_IO:2FS,EGY,to/for you [fem.sg.],enc1:2fs_iobj,!enc0:2* #^V,enc1 enc1:2*,_l_+ik,,DONE,
178,176,RED,MORPH,[LPRON],l/PREP+ik/PRON.2FS,li#kiy,l/PREP+kiy/XVSUFF_IO:2FS,EGY,to/for you [fem.sg.],enc1:2fs_iobj,!enc0:2* #NEG,enc1 enc1:2*,_l_+ik,,DONE,
179,177,RED,MORPH,[LPRON],l/PREP+kuw/PRON.2P,lu#kuw,l/PREP+kuw/XVSUFF_IO:2P,EGY,to/for you,enc1:2p_iobj,!enc0:2*,enc1 enc1:2*,_l_+kuw,,DONE,
180,178,RED,MORPH,[LPRON],l/PREP+uh/PRON.3MS,lu#h,l/PREP+uh/XVSUFF_IO:3MS,EGY,to/for him,enc1:3ms_iobj,else,enc1,_l_+uh,,DONE,
181,179,RED,MORPH,[LPRON],l/PREP+uh/PRON.3MS,lu#huw,l/PREP+uh/XVSUFF_IO:3MS,EGY,to/for him,enc1:3ms_iobj,#NEG,enc1,_l_+uh,,DONE,
182,180,RED,MORPH,[LPRON],l/PREP+hA/PRON.3FS,la#hA,l/PREP+hA/XVSUFF_IO:3FS,EGY,to/for her,enc1:3fs_iobj,,enc1,_l_+hA,,DONE,
183,181,RED,MORPH,[LPRON],l/PREP+hum/PRON.3P,lu#hum ,l/PREP+hum/XVSUFF_IO:3P,EGY,to/for them,enc1:3p_iobj,,enc1,_l_+hum,,DONE,
184,182,,,,,,,,,,,,,,,
185,183,,,,,,,,,,,,,,,
186,184,RED,MORPH,[NEG] ,_,_,_,EGY,_,enc2:0,,_,_,,DONE,
187,185,RED,MORPH,[NEG] ,$/PART_NEG,$,$/NEG_PART,EGY,not,enc2:part_neg,,#NEG,_+$,,DONE,
