,Pattern,,#COND-TS,COND-T-Act,COND-S-Act,Frequency,Lemma,Example (Form),REGEX-match,REGEX-sub,#COND-map,COND-T-Pass,COND-S-Pass,Test,Color,Comments,STATUS
251,1ayo3a4,1ayo3a4,#n,,#n,1,hayonam,hayonam,(.).(.).(.).(.),$1u$2o$3i$4,#n,,#n,huyonim,1,,DONE
252,1ayo3a4,1ayo3a4,,,,3,hayonam,hayonam,(.).(.).(.).(.),$1u$2o$3i$4,,,,huyonim,1,,DONE
253,1u2~,1u2~,c-suff + gem,c-suff,gem,1,kuz~,kuziz,(.).(.).(.),$1u$2i$3,,c-suff,gem,kuziz,0,,DONE
254,1u2~,1u2~,v-suff + gem,v-suff,gem,1,kuz~,kuz~,(.).(.)~,$1u$2~,,v-suff,gem,kuz~,0,,DONE
255,1u2i>,1u2i>,,,,1,ruzi},ruzi},(.).(.).(.),$1u$2i$3,,,,ruzi},1,Isn't this pattern inherently passive?,DONE
256,ta>a2~a3,ta>a2~a3,#n,,#n,2,ta>ah~al,ta>ah~al,ta(.).(.)~.(.),tu&u$2~i$3,#n,,#n,tu&uh~il,0,,DONE
257,ta>a2~a3,ta>a2~a3,,,,38,ta>ah~al,ta>ah~al,ta(.).(.)~.(.),tu&u$2~i$3,,,,tu&uh~il,0,,DONE
258,ta>a2~aY,ta>a2~a#,#-ay,,#-ay,8,ta>al~aY,ta>al~,ta(.).(.)~,tu&u$2~,#-iy,,#-iy,tu&ul~,1,,DONE
259,ta>A2a3,ta>@2a3,,,,4,ta>Amar,ta|mar,ta.(.).(.),tu&uw$1i$2,,,,tu&uwmir,0,,DONE
260,ta>A2aY,ta>@2a#,#-ay,,#-ay,2,ta>AsaY,ta|s,ta.(.),tu&uw$1,#-iy,,#-iy,tu&uws,1,,DONE
261,ta>a2o3a4,ta>a2o3a4,#n,,#n,1,ta>anojal,ta>anojal,ta(.).(.).(.).(.),tu&u$2o$3i$4,#n,,#n,tu&unojil,0,,DONE
262,ta>a2o3a4,ta>a2o3a4,,,,7,ta>anojal,ta>anojal,ta(.).(.).(.).(.),tu&u$2o$3i$4,,,,tu&unojil,0,,DONE
263,ta>aw~a3,ta>aw~a3,,,,2,ta>aw~ad,ta>aw~ad,ta(.).(.)~.(.),tu&u$2~i$3,,,,tu&uw~id,1,,DONE
264,ta>awo3a4,ta>awo3a4,,,,1,ta>aworab,ta>aworab,ta(.).(.).(.).(.),tu&u$2o$3i$4,,,,tu&uworib,0,,DONE
265,ta>ay~a3,ta>ay~a3,#n,,#n,1,ta>ay~am,ta>ay~am,ta(.).(.)~.(.),tu&u$2~i$3,#n,,#n,tu&uy~im,1,,DONE
266,ta>ay~a3,ta>ay~a3,,,,2,ta>ay~am,ta>ay~am,ta(.).(.)~.(.),tu&u$2~i$3,,,,tu&uy~im,1,,DONE
267,ta1a>~a3,ta1a>~a3,,,,3,tasa>~al,tasa>~al,ta(.).(.)~.(.),tu$1u}~i$3,,,,tusu}~il,0,,DONE
268,ta1a>~aY,ta1a>~a#,#-ay,,#-ay,1,tara>~aY,tara>~,ta(.).(.)~,tu$1u$2~,,,#-}iy,turu>~,1,Should add new class with '~?,DONE
269,ta1A>a3,ta1@>a3,,,,7,talA'am,talA'am,ta(.)A(.).(.),tu$1uw}i$3,,,,tuluw}im,0,,DONE
270,ta1A>aY,ta1@>a#,#-ay,,#-ay,2,tarA'aY,tarA',ta(.)A(.),tu$1uw,#-'iy,,#-}iy,turuw,1,Added new cond: #-'iy,DONE
271,ta1a>o3a>,ta1a>o3a>,#-a>,,#-a>,2,tala>ola>,tala>ol,ta(.).(.).(.),tu$1u$2o$3i},,,,tulu>oli},0,,DONE
272,ta1a>o3a4,ta1a>o3a4,#n,,#n,1,tava>olal,tava>olal,ta(.).(.).(.).(.),tu$1u&o$3i$4,#n,,#n,tuvu&olil,1,,DONE
273,ta1a>o3a4,ta1a>o3a4,,,,1,tava>olal,tava>olal,ta(.).(.).(.).(.),tu$1u$2o$3i$4,,,,tuvu>olil,1,,DONE
274,ta1A2~,ta1@2~,c-suff + gem,c-suff,gem,16,tasAr~,tasArar,ta(.)A(.).(.),tu$1uw$2i$3,,c-suff,gem,tusuwrir,0,C2,DONE
275,ta1A2~,ta1@2~,v-suff + gem,v-suff,gem,16,tasAr~,tasAr~,ta(.)A(.)~,tu$1uw$2~,,v-suff,gem,tusuwr~,0,C2,DONE
276,ta1A2~,ta1@2~,c-suff + #t gem,c-suff,#t gem,1,tasAr~,tasArar,ta(.)A(.).(.),tu$1uw$2i$3,#t,c-suff,#t,tusuwrir,0,C2,DONE
277,ta1A2~,ta1@2~,v-suff + #t gem,v-suff,#t gem,1,tasAr~,tasAr~,ta(.)A(.)~,tu$1uw$2~,,v-suff,#t,tusuwr~,0,C2,DONE
278,ta1a2~a>,ta1a2~a>,#-a>,,#-a>,16,tahar~a>,tahar~,ta(.).(.)~,tu$1u$2~i},,,,tuhur~i},1,,DONE
279,ta1a2~a3,ta1a2~a3,#n,,#n,27,tahal~al,tahal~al,ta(.).(.)~.(.),tu$1u$2~i$3,#n,,#n,tuhul~il,0,,DONE
280,ta1a2~a3,ta1a2~a3,#t,,#t,8,tahal~al,tahal~al,ta(.).(.)~.(.),tu$1u$2~i$3,#t,,#t,tuhul~il,0,,DONE
281,ta1a2~a3,ta1a2~a3,,,,606,tahal~al,tahal~al,ta(.).(.)~.(.),tu$1u$2~i$3,,,,tuhul~il,0,,DONE
282,ta1a2~aY,ta1a2~a#,#-ay,,#-ay,81,tanaz~aY,tanaz~,ta(.).(.)~,tu$1u$2~,#-iy,,#-iy,tunuz~,1,,DONE
283,ta1A2a>,ta1@2a>,#-a>,,#-a>,5,ta$ATa>,ta$AT,ta(.)A(.),tu$1uw$2i},,,,tu$uwTi},0,,DONE
284,ta1A2a3,ta1@2a3,#n,,#n,13,tahAmal,tahAmal,ta(.)A(.).(.),tu$1uw$2i$3,#n,,#n,tuhuwmil,1,,DONE
285,ta1A2a3,ta1@2a3,#t,,#t,1,tahAmal,tahAmal,ta(.)A(.).(.),tu$1uw$2i$3,#t,,#t,tuhuwmil,1,,DONE
286,ta1A2a3,ta1@2a3,,,,229,tahAmal,tahAmal,ta(.)A(.).(.),tu$1uw$2i$3,,,,tuhuwmil,1,,DONE
287,ta1A2aY,ta1@2a#,#-ay,,#-ay,51,tanAhaY,tanAh,ta(.)A(.),tu$1uw$2,#-iy,,#-iy,tunuwh,0,,DONE
288,ta1a2o>a4,ta1a2o>a4,#n,,#n,1,taTamo>an,taTamo>an,ta(.).(.).(.).(.),tu$1u$2o}i$4,#n,,#n,tuTumo}in,1,,DONE
289,ta1a2o3a4,ta1a2o3a4,#n,,#n,16,tahanodam,tahanodam,ta(.).(.).(.).(.),tu$1u$2o$3i$4,#n,,#n,tuhunodim,0,,DONE
290,ta1a2o3a4,ta1a2o3a4,#t,,#t,1,tahanodam,tahanodam,ta(.).(.).(.).(.),tu$1u$2o$3i$4,#t,,#t,tuhunodim,0,,DONE
291,ta1a2o3a4,ta1a2o3a4,,,,109,tahanodam,tahanodam,ta(.).(.).(.).(.),tu$1u$2o$3i$4,,,,tuhunodim,0,,DONE
292,ta1a2owa4,ta1a2owa4,#n,,#n,1,tabalowar,tabalowar,ta(.).(.).(.).(.),tu$1u$2o$3i$4,#n,,#n,tubulowir,1,,DONE
293,ta1a2owa4,ta1a2owa4,,,,7,tabalowar,tabalowar,ta(.).(.).(.).(.),tu$1u$2o$3i$4,,,,tubulowir,1,,DONE
294,ta1a2oya4,ta1a2oya4,#n,,#n,2,tamadoyan,tamadoyan,ta(.).(.).(.).(.),tu$1u$2o$3i$4,#n,,#n,tumudoyin,0,,DONE
295,ta1aw~a>,ta1aw~a>,#-a>,,#-a>,2,taDaw~a>,taDaw~,ta(.).(.)~,tu$1u$2~i},,,,tuDuw~i},1,,DONE
296,ta1aw~a3,ta1aw~a3,#n,,#n,5,tahaw~a$,tahaw~a$,ta(.).(.)~.(.),tu$1u$2~i$3,#n,,#n,tuhuw~i$,0,,DONE
297,ta1aw~a3,ta1aw~a3,#t,,#t,1,tahaw~a$,tahaw~a$,ta(.).(.)~.(.),tu$1u$2~i$3,#t,,#t,tuhuw~i$,0,,DONE
298,ta1aw~a3,ta1aw~a3,,,,72,tahaw~a$,tahaw~a$,ta(.).(.)~.(.),tu$1u$2~i$3,,,,tuhuw~i$,0,,DONE
299,ta1aw~aY,ta1aw~a#,#-ay,,#-ay,8,taraw~aY,taraw~,ta(.).(.)~,tu$1u$2~,#-iy,,#-iy,turuw~,1,,DONE
300,ta1Awa3,ta1@wa3,#n,,#n,2,taTAwal,taTAwal,ta(.)A(.).(.),tu$1uw$2i$3,#n,,#n,tuTuwwil,0,,DONE
301,ta1Awa3,ta1@wa3,#t,,#t,2,taTAwal,taTAwal,ta(.)A(.).(.),tu$1uw$2i$3,#t,,#t,tuTuwwil,0,,DONE
302,ta1Awa3,ta1@wa3,,,,26,taTAwal,taTAwal,ta(.)A(.).(.),tu$1uw$2i$3,,,,tuTuwwil,0,,DONE
303,ta1AwaY,ta1@wa#,#-ay,,#-ay,3,tasAwaY,tasAw,ta(.)A(.),tu$1uw$2,#-iy,,#-iy,tusuww,1,,DONE
304,ta1awo3a4,ta1awo3a4,#n,,#n,1,tamawoqaE,tamawoqaE,ta(.).(.).(.).(.),tu$1u$2o$3i$4,#n,,#n,tumuwoqiE,0,,DONE
305,ta1awo3a4,ta1awo3a4,,,,5,tamawoqaE,tamawoqaE,ta(.).(.).(.).(.),tu$1u$2o$3i$4,,,,tumuwoqiE,0,,DONE
306,ta1ay~a>,ta1ay~a>,#-a>,,#-a>,4,taqay~a>,taqay~,ta(.).(.)~,tu$1u$2~i},,,,tuquy~i},1,,DONE
307,ta1ay~a3,ta1ay~a3,#n,,#n,6,tahay~aj,tahay~aj,ta(.).(.)~.(.),tu$1u$2~i$3,#n,,#n,tuhuy~ij,0,,DONE
308,ta1ay~a3,ta1ay~a3,,,,46,tahay~aj,tahay~aj,ta(.).(.)~.(.),tu$1u$2~i$3,,,,tuhuy~ij,0,,DONE
309,ta1ay~aY,ta1ay~a#,#-ay,,#-ay,1,tazay~aY,tazay~,ta(.).(.)~,tu$1u$2~,#-iy,,#-iy,tuzuy~,1,,DONE
310,ta1Aya>,ta1@ya>,#-a>,,#-a>,1,tahAya>,tahAy,ta(.)A(.),tu$1uw$2i},,,,tuhuwyi},0,,DONE
311,ta1Aya3,ta1@ya3,#n,,#n,2,tamAyaz,tamAyaz,ta(.)A(.).(.),tu$1uw$2i$3,#n,,#n,tumuwyiz,1,,DONE
312,ta1Aya3,ta1@ya3,,,,17,tamAyaz,tamAyaz,ta(.)A(.).(.),tu$1uw$2i$3,,,,tumuwyiz,1,,DONE
313,ta1ayo3a4,ta1ayo3a4,#n,,#n,1,tafayohaq,tafayohaq,ta(.).(.).(.).(.),tu$1u$2o$3i$4,#n,,#n,tufuyohiq,0,,DONE
314,ta1ayo3a4,ta1ayo3a4,,,,2,tafayohaq,tafayohaq,ta(.).(.).(.).(.),tu$1u$2o$3i$4,,,,tufuyohiq,0,,DONE
315,ta1ayowa4,ta1ayowa4,,,,1,ta$ayowaE,ta$ayowaE,ta(.).(.).(.).(.),tu$1u$2o$3i$4,,,,tu$uyowiE,1,,DONE
316,tawa>~a3,tawa>~a3,,,,1,tawa>~ad,tawa>~ad,ta(.).(.)~.(.),tu$1u}~i$3,,,,tuwu}~id,0,,DONE
317,tawA>a3,taw@>a3,,,,1,tawA'am,tawA'am,ta(.)A(.).(.),tu$1uw}i$3,,,,tuwuw}im,1,,DONE
318,tawA2~,taw@2~,c-suff + gem,c-suff,gem,1,tawAd~,tawAdad,ta(.)A(.).(.),tu$1uw$2i$3,,c-suff,gem,tuwuwdid,0,C2,DONE
319,tawA2~,taw@2~,v-suff + gem,v-suff,gem,1,tawAd~,tawAd~,ta(.)A(.)~,tu$1uw$2~,,v-suff,gem,tuwuwd~,0,C2,DONE
320,tawa2~a>,tawa2~a>,#-a>,,#-a>,2,tawak~a>,tawak~,ta(.).(.)~,tu$1u$2~i},,,,tuwuk~i},1,,DONE
321,tawa2~a3,tawa2~a3,#n,,#n,1,tawah~am,tawah~am,ta(.).(.)~.(.),tu$1u$2~i$3,#n,,#n,tuwuh~im,0,,DONE
322,tawa2~a3,tawa2~a3,,,,50,tawah~am,tawah~am,ta(.).(.)~.(.),tu$1u$2~i$3,,,,tuwuh~im,0,,DONE
323,tawa2~aY,tawa2~a#,#-ay,,#-ay,6,tawaE~aY,tawaE~,ta(.).(.)~,tu$1u$2~,#-iy,,#-iy,tuwuE~,1,,DONE
324,tawA2a>,taw@2a>,#-a>,,#-a>,1,tawATa>,tawAT,ta(.)A(.),tu$1uw$2i},,,,tuwuwTi},0,,DONE
325,tawA2a3,taw@2a3,#n,,#n,1,tawAqaH,tawAqaH,ta(.)A(.).(.),tu$1uw$2i$3,#n,,#n,tuwuwqiH,1,,DONE
326,tawA2a3,taw@2a3,,,,19,tawAqaH,tawAqaH,ta(.)A(.).(.),tu$1uw$2i$3,,,,tuwuwqiH,1,,DONE
327,tawA2aY,taw@2a#,#-ay,,#-ay,6,tawAfaY,tawAf,ta(.)A(.),tu$1uw$2,#-iy,,#-iy,tuwuwf,0,,DONE
328,tawa2owa4,tawa2owa4,,,,3,tawasowas,tawasowas,ta(.).(.).(.).(.),tu$1u$2o$3i$4,,,,tuwusowis,1,,DONE
329,taya2~a3,taya2~a3,#n,,#n,2,tayaq~aZ,tayaq~aZ,ta(.).(.)~.(.),tu$1u$2~i$3,#n,,#n,tuyuq~iZ,0,,DONE
330,taya2~a3,taya2~a3,,,,5,tayaq~aZ,tayaq~aZ,ta(.).(.)~.(.),tu$1u$2~i$3,,,,tuyuq~iZ,0,,DONE
331,wA>a3,w@>a3,,,,1,wA'am,wA'am,(.)A(.).(.),$1uw}i$3,,,,wuw}im,1,,DONE
332,wa>a3,wa>a3,,,,2,wa>ar,wa>ar,(.).(.).(.),$1u}i$3,,,,wu}ir,1,,DONE
333,wA2~,w@2~,c-suff + hollow,c-suff,hollow,1,wAd~,wAdad,(.)A(.).(.),$1uw$2i$3,,c-suff,hollow,wuwdid,0,C2,DONE
334,wA2~,w@2~,v-suff + hollow,v-suff,hollow,1,wAd~,wAd~,(.)A(.)~,$1uw$2~,,v-suff,hollow,wuwd~,0,C2,DONE
335,wa2~,wa2~,c-suff + hollow,c-suff,hollow,2,waz~,wazaz,(.).(.).(.),$1u$2i$3,c-suff + hollow,c-suff,hollow,wuziz,0,,DONE
336,wa2~,wa2~,v-suff + hollow,v-suff,hollow,2,waz~,waz~,(.).(.)~,$1u$2~,v-suff + hollow,v-suff,hollow,wuz~,0,,DONE
337,wa2~,wa2~,c-suff + #n gem,c-suff,#n gem,1,waz~,wazaz,(.).(.).(.),$1u$2i$3,c-suff + #n gem,c-suff,#n gem,wuziz,0,,DONE
338,wa2~,wa2~,v-suff + #n gem,v-suff,#n gem,1,waz~,waz~,(.).(.)~,$1u$2~,v-suff + #n gem,v-suff,#n gem,wuz~,0,,DONE
339,wa2~a>,wa2~a>,#-a>,,#-a>,1,waT~a>,waT~,(.).(.)~,$1u$2~i},,,,wuT~i},1,,DONE
340,wa2~a3,wa2~a3,#n,,#n,2,wah~al,wah~al,(.).(.)~.(.),$1u$2~i$3,#n,,#n,wuh~il,0,,DONE
341,wa2~a3,wa2~a3,#t,,#t,1,wah~al,wah~al,(.).(.)~.(.),$1u$2~i$3,#t,,#t,wuh~il,0,,DONE
342,wa2~a3,wa2~a3,,,,51,wah~al,wah~al,(.).(.)~.(.),$1u$2~i$3,,,,wuh~il,0,,DONE
343,wa2~aY,wa2~a#,#-ay,,#-ay,9,wan~aY,wan~,(.).(.)~,$1u$2~,#-iy,,#-iy,wun~,1,,DONE
344,wA2a>,w@2a>,#-a>,,#-a>,1,wATa>,wAT,(.)A(.),$1uw$2i},,,,wuwTi},0,,DONE
345,wa2a>,wa2a>,#-a>,,#-a>,2,waTa>,waT,(.).(.),$1u$2i},,,,wuTi},0,,DONE
346,wA2a3,w@2a3,#n,,#n,1,wAlaf,wAlaf,(.)A(.).(.),$1uw$2i$3,#n,,#n,wuwlif,1,,DONE
347,wA2a3,w@2a3,,,,15,wAlaf,wAlaf,(.)A(.).(.),$1uw$2i$3,,,,wuwlif,1,,DONE
348,wa2a3,wa2a3,#n,,#n,4,waqaH,waqaH,(.).(.).(.),$1u$2i$3,#n,,#n,wuqiH,1,,DONE
349,wa2a3,wa2a3,,,,72,waqaH,waqaH,(.).(.).(.),$1u$2i$3,,,,wuqiH,1,,DONE
350,wA2aY,w@2a#,#-ay,,#-ay,6,wAsaY,wAs,(.).(.),$1uw$2,#-iy,,#-iy,wuws,0,,DONE
351,wa2aY,wa2a#,#-ay,,#-ay,11,wahaY,wah,(.).(.),$1u$2,#-iy,,#-iy,wuh,0,,DONE
352,wa2i>,wa2i>,,,,3,waTi},waTi},(.).(.).(.),$1u$2i$3,,,,wuTi},1,,DONE
353,wa2i3,wa2i3,#n,,#n,1,wahim,wahim,(.).(.).(.),$1u$2i$3,#n,,#n,wuhim,0,,DONE
354,wa2i3,wa2i3,,,,22,wahim,wahim,(.).(.).(.),$1u$2i$3,,,,wuhim,0,,DONE
355,wa2iy,wa2iy,#-iy,,#-iy,2,wahiy,wah,(.).(.),$1u$2iy,#-iy,,#-iy,wuhiy,1,,DONE
356,wa2o3a4,wa2o3a4,,,,1,warona$,warona$,(.).(.).(.).(.),$1u$2o$3i$4,,,,wuroni$,0,,DONE
357,wa2owa4,wa2owa4,,,,7,walowal,walowal,(.).(.).(.).(.),$1u$2o$3i$4,,,,wulowil,1,,DONE
358,wa2u>,wa2u>,,,,2,waDu&,waDu&,(.).(.).(.),$1u$2i},,,,wuDi},0,,DONE
359,wa2u3,wa2u3,#n,,#n,1,wakuE,wakuE,(.).(.).(.),$1u$2i$3,#n,,#n,wukiE,1,,DONE
360,wa2u3,wa2u3,,,,9,wakuE,wakuE,(.).(.).(.),$1u$2i$3,,,,wukiE,1,,DONE
361,ya>i3,ya>i3,,,,1,ya}is,ya}is,(.).(.).(.),$1u$2i$3,,,,yu}is,0,,DONE
362,ya2~a3,ya2~a3,#n,,#n,1,yam~am,yam~am,(.).(.)~.(.),$1u$2~i$3,#n,,#n,yum~im,1,,DONE
363,ya2~a3,ya2~a3,,,,4,yam~am,yam~am,(.).(.)~.(.),$1u$2~i$3,,,,yum~im,1,,DONE
364,yA2a3,y@2a3,,,,1,yAsar,yAsar,(.)A(.).(.),$1uw$2i$3,,,,yuwsir,0,,DONE
365,ya2a3,ya2a3,#n,,#n,1,yatam,yatam,(.).(.).(.),$1u$2i$3,#n,,#n,yutim,0,,DONE
366,ya2a3,ya2a3,,,,3,yatam,yatam,(.).(.).(.),$1u$2i$3,,,,yutim,0,,DONE
367,ya2i3,ya2i3,#n,,#n,2,yaqiZ,yaqiZ,(.).(.).(.),$1u$2i$3,#n,,#n,yuqiZ,1,,DONE
368,ya2i3,ya2i3,,,,5,yaqiZ,yaqiZ,(.).(.).(.),$1u$2i$3,,,,yuqiZ,1,,DONE
369,ya2u3,ya2u3,#n,,#n,1,yaquZ,yaquZ,(.).(.).(.),$1u$2i$3,#n,,#n,yuqiZ,0,,DONE
370,ya2u3,ya2u3,,,,3,yaquZ,yaquZ,(.).(.).(.),$1u$2i$3,,,,yuqiZ,0,,DONE
371,yaw~a3,yaw~a3,,,,1,yaw~ad,yaw~ad,(.).(.)~.(.),$1u$2~i$3,,,,yuw~id,1,,DONE
372,yAwa3,y@wa3,,,,1,yAwam,yAwam,(.)A(.).(.),$1uw$2i$3,,,,yuwwim,0,,DONE
373,,,,,,,,,,,,,,,,,
374,1a>aw,1a>aw,defective,,defective,-,$a>aw,$a>aw,(.).(.).(.),$1u}i$3,,,,$u}iw,1,,DONE
375,1ay~,1ay~,c-suff + gem,c-suff,gem,-,Hay~,Hayiy,(.).(.).(.),$1u$2i$3,c-suff + gem,c-suff,gem,Huyiy,0,,DONE
376,1ay~,1ay~,v-suff + gem,v-suff,gem,-,Hay~,Hay~,(.).(.)~,$1u$2~,v-suff + gem,v-suff,gem,Huy~,0,,DONE
377,1A2aY,1@2a#,#-ay defective,,#-ay defective,-,kAfaY,kAf,(.)A(.),$1uw$2,#-iy defective,,#-iy defective,kuwf,1,,DONE
378,{i1o2a3~,{i1o2a3~,c-suff + #n gem,c-suff,#n gem,-,{izoraq~,{izoraqaq,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + #n gem,c-suff,#n gem,{uzoruqiq,0,,DONE
379,{i1o2a3~,{i1o2a3~,v-suff + #n gem,v-suff,#n gem,-,{izoraq~,{izoraq~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff + #n gem,v-suff,#n gem,{uzoruq~,0,,DONE
380,{i1o2a3~,{i1o2a3~,c-suff + #t gem,c-suff,#t gem,-,{izoraq~,{izoraqaq,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + #t gem,c-suff,#t gem,{uzoruqiq,0,,DONE
381,{i1o2a3~,{i1o2a3~,v-suff + #t gem,v-suff,#t gem,-,{izoraq~,{izoraq~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff + #t gem,v-suff,#t gem,{uzoruq~,0,,DONE
382,1AwaY,1@wa#,#-ay,,#-ay,-,sAwaY,sAw,(.)A(.),$1uw$2,#-iy,,#-iy,suww,1,,DONE
383,>aAo3,>a@o3,c-suff + #n hollow,c-suff,#n hollow,-,>An,>uq,(.).(.),<i$2,c-suff + #n hollow,c-suff,#n hollow,<iq,0,,DONE
384,>aAo3,>a@o3,v-suff + #n hollow,v-suff,#n hollow,-,>An,|q,.(.),<iy$1,v-suff + #n hollow,v-suff,#n hollow,<iyq,0,,DONE
385,1u2iy,1u2iy,#-iy,,#-iy,-,zuhiy,zuhiy,(.).(.).(.),$1u$2i$3,#-iy,,#-iy,zuhiy,1,Isn't this pattern inherently passive?,DONE
386,>a2o3o4a5,>a2o3o4a5,,,,-,>anokolaz,>anokolaz,(.).(.).(.).(.).(.),$1u$2o$3o$4i$5,,,,>unokoliz,0,,DONE
387,ta>a2o3o4a5,ta>a2o3o4a5,,,,-,ta>anokolaz,ta>anokolaz,ta(.).(.).(.).(.).(.),tu$1u$2o$3o$4i$5,,,,tu>unokoliz,1,,DONE
388,{i>ota2~,{i>ota2~,c-suff + gem,c-suff,gem,-,{i}otam~,{i}otamam,{i(.).(.).(.).(.),{u&o$2u$3i$4,c-suff + gem,c-suff,gem,{u&otumim,0,,DONE
389,{i>ota2~,{i>ota2~,v-suff + gem,v-suff,gem,-,{i}otam~,{i}otam~,{i(.).(.).(.)~,{u&o$2u$3~,v-suff + gem,v-suff,gem,{u&otum~,0,,DONE
390,>a2o3a4,>a2o3a4,,,,-,>aforaq,>aforaq,(.).(.).(.).(.),$1u$2o$3i$4,,,,>uforiq,1,,DONE
391,>a2o3a4,>a2o3a4,,,#n,-,>aloman,>aloman,(.).(.).(.).(.),$1u$2o$3i$4,,,#n,>ulomin,1,,DONE
392,>awo3a4,>awo3a4,,,,-,>aworab,>aworab,(.).(.).(.).(.),$1u$2o$3i$4,,,,>uworib,0,,DONE
393,{i1~a2a3,{i1~a2a3,,,,-,{it~abaE,{it~abaE,{i(.)~.(.).(.),{u$1~u$2i$3,,,,{ut~ubiE,1,,DONE
394,{i1~a2aY,{i1~a2a#,#-ay,,#-ay,-,{im~aHaY,{im~aH,{i(.)~.(.),{u$1~u$2,#-iy,,#-iy,{um~uH,0,,DONE
