,LINE,DEFINE,CLASS,MORPHEME,MORPH,BW,GLOSS,FEAT,COND-T,COND-S,NOTES,EXAMPLES,STATUS,NSTAT,Check
213,300.2131,MORPH,[NSuff.XXCN],NSuff.FSCN,ap+u,ap/NSUFF_FEM_SG+u/CASE_DEF_NOM,[fem.sg.]_+_[const.nom.],form_gen:f form_num:s stt:c cas:n,else,FS,Base Triptote-Sound,كتابةُ,DROP,,0
214,300.2131,MORPH,[NSuff.XXCN],NSuff.FSCN,at+u,ap/NSUFF_FEM_SG+u/CASE_DEF_NOM,[fem.sg.]_+_[const.nom.],form_gen:f form_num:s stt:c cas:n,C:POSS_PRON,FS,Base Triptote-Sound,كتابتُهُ,DROP,,0
215,300.2131,MORPH,[NSuff.XXCN],NSuff.FSCN,at,ap/NSUFF_FEM_SG,[fem.sg.]_+_[const.nom.],form_gen:f form_num:s stt:c cas:n,C:POSS_PRON-iy,FS,Base Triptote-Sound,كتابتِي,DROP,,0
216,300.2132,MORPH,[NSuff.XXCA],NSuff.FSCA,ap+a,ap/NSUFF_FEM_SG+a/CASE_DEF_ACC,[fem.sg.]_+_[const.acc.],form_gen:f form_num:s stt:c cas:a,else,FS,Base Triptote-Sound,كتابةَ,DROP,,0
217,300.2132,MORPH,[NSuff.XXCA],NSuff.FSCA,at+a,ap/NSUFF_FEM_SG+a/CASE_DEF_ACC,[fem.sg.]_+_[const.acc.],form_gen:f form_num:s stt:c cas:a,C:POSS_PRON,FS,Base Triptote-Sound,كتابتَهُ,DROP,,0
218,300.2132,MORPH,[NSuff.XXCA],NSuff.FSCA,at,ap/NSUFF_FEM_SG,[fem.sg.]_+_[const.acc.],form_gen:f form_num:s stt:c cas:a,C:POSS_PRON-iy,FS,Base Triptote-Sound,كتابتِي,DROP,,0
219,300.2133,MORPH,[NSuff.XXCG],NSuff.FSCG,ap+i,ap/NSUFF_FEM_SG+i/CASE_DEF_GEN,[fem.sg.]_+_[const.gen.],form_gen:f form_num:s stt:c cas:g,else,FS,Base Triptote-Sound,كتابةِ,DROP,,0
220,300.2133,MORPH,[NSuff.XXCG],NSuff.FSCG,at+i,ap/NSUFF_FEM_SG+i/CASE_DEF_GEN,[fem.sg.]_+_[const.gen.],form_gen:f form_num:s stt:c cas:g,C:POSS_PRON,FS C:i#,Base Triptote-Sound,كتابتِهِ,DROP,,0
221,300.2133,MORPH,[NSuff.XXCG],NSuff.FSCG,at,ap/NSUFF_FEM_SG,[fem.sg.]_+_[const.gen.],form_gen:f form_num:s stt:c cas:g,C:POSS_PRON-iy,FS,Base Triptote-Sound,كتابتِي,DROP,,0
222,300.21331,MORPH,[NSuff.XXCG],NSuff.FSCG,ap+i,ap/NSUFF_FEM_SG+i/CASE_DEF_GEN,[fem.sg.]_+_[const.gen.],form_gen:f form_num:s stt:c,X100,FS100,Compound Hundreds,خمسمئة,DROP,,1
223,300.2134,MORPH,[NSuff.XXCU],NSuff.FSCU,ip,ip/NSUFF_FEM_SG,[fem.sg.],form_gen:f form_num:s stt:c cas:u,else,FS UCase,Base UCase,كتابة,,,0
224,300.2134,MORPH,[NSuff.XXCU],NSuff.FSCU,it,ip/NSUFF_FEM_SG,[fem.sg.],form_gen:f form_num:s stt:c cas:u,!ACTPART !enc0:0,FS UCase,Base UCase, عربيته,,,1
225,300.2134,MORPH,[NSuff.XXCU],NSuff.FSCU,A,ap/NSUFF_FEM_SG,[fem.sg.],form_gen:f form_num:s stt:c cas:u,ACTPART !enc0:0,FS UCase,Base UCase,شايفاه,,,1
226,300.2211,MORPH,[NSuff.XXIN],NSuff.FDIN,atAni,atAni/NSUFF_FEM_DU_NOM,two_[fem.du.indef.nom.],form_gen:f form_num:d stt:i cas:n,_,FD,Base Triptote-Sound,,DROP,,0
227,300.2212,MORPH,[NSuff.XXIA],NSuff.FDIA,atayoni,atayoni/NSUFF_FEM_DU_ACC,two_[fem.du.indef.acc.],form_gen:f form_num:d stt:i cas:a,_,FD,Base Triptote-Sound,,DROP,,0
228,300.2213,MORPH,[NSuff.XXIG],NSuff.FDIG,atayoni,atayoni/NSUFF_FEM_DU_GEN,two_[fem.du.indef.gen.],form_gen:f form_num:d stt:i cas:g,_,FD,Base Triptote-Sound,,DROP,,0
229,300.2214,MORPH,[NSuff.XXIU],NSuff.FDIU,atayon,atayon/NSUFF_FEM_DU,two_[fem.du.],form_gen:f form_num:d stt:i cas:u,_,FD UCase,Base UCase,كتابتين,,,0
230,300.2221,MORPH,[NSuff.XXDN],NSuff.FDDN,atAni,atAni/NSUFF_FEM_DU_NOM,two_[fem.du.def.nom.],form_gen:f form_num:d stt:d cas:n,_,FD,Base Triptote-Sound,,DROP,,0
231,300.2222,MORPH,[NSuff.XXDA],NSuff.FDDA,atayoni,atayoni/NSUFF_FEM_DU_ACC,two_[fem.du.def.acc.],form_gen:f form_num:d stt:d cas:a,_,FD,Base Triptote-Sound,,DROP,,0
232,300.2223,MORPH,[NSuff.XXDG],NSuff.FDDG,atayoni,atayoni/NSUFF_FEM_DU_GEN,two_[fem.du.def.gen.],form_gen:f form_num:d stt:d cas:g,_,FD,Base Triptote-Sound,,DROP,,0
233,300.2224,MORPH,[NSuff.XXDU],NSuff.FDDU,atayon,atayon/NSUFF_FEM_DU,two_[fem.du.],form_gen:f form_num:d stt:d cas:u,_,FD UCase,Base UCase,كتابتين,,,0
234,300.2231,MORPH,[NSuff.XXCN],NSuff.FDCN,atA,atA/NSUFF_FEM_DU_NOM_POSS,two_[fem.du.const.nom.],form_gen:f form_num:d stt:c cas:n,_,FD C:A#,Base Triptote-Sound,,DROP,,0
235,300.2232,MORPH,[NSuff.XXCA],NSuff.FDCA,atayo,atayo/NSUFF_FEM_DU_ACC_POSS,two_[fem.du.const.acc.],form_gen:f form_num:d stt:c cas:a,!C:POSS_PRON-iy,FD C:ay#,Base Triptote-Sound,,DROP,,0
236,300.2232,MORPH,[NSuff.XXCA],NSuff.FDCA,atay,atayo/NSUFF_FEM_DU_ACC_POSS,two_[fem.du.const.acc.],form_gen:f form_num:d stt:c cas:a,C:POSS_PRON-iy,FD C:ay#,Base Triptote-Sound,,DROP,,0
237,300.2233,MORPH,[NSuff.XXCG],NSuff.FDCG,atayo,atayo/NSUFF_FEM_DU_GEN_POSS,two_[fem.du.const.gen.],form_gen:f form_num:d stt:c cas:g,!C:POSS_PRON-iy,FD C:ay#,Base Triptote-Sound,,DROP,,0
238,300.2233,MORPH,[NSuff.XXCG],NSuff.FDCG,atay,atayo/NSUFF_FEM_DU_GEN_POSS,two_[fem.du.const.gen.],form_gen:f form_num:d stt:c cas:g,C:POSS_PRON-iy,FD C:ay#,Base Triptote-Sound,,DROP,,0
239,300.2234,MORPH,[NSuff.XXCU],NSuff.FDCU,atayon,atayon/NSUFF_FEM_DU,two_[fem.du.],form_gen:f form_num:d stt:c cas:u,_,FD UCase,Base UCase,كتابتين,,,0
240,300.2311,MORPH,[NSuff.XXIN],NSuff.FPIN,At+N,At/NSUFF_FEM_PL+N/CASE_INDEF_NOM,[fem.pl.]_+_[indef.nom.],form_gen:f form_num:p stt:i cas:n,else,FP,Base Triptote-Sound,,DROP,,0
241,300.23111,MORPH,[NSuff.XXIN],NSuff.FPIN,|t+N,|t/NSUFF_FEM_PL+N/CASE_INDEF_NOM,[fem.pl.]_+_[indef.nom.],form_gen:f form_num:p stt:i cas:n,#a>,FP A-suff,#a>,مكافآت,DROP,,1
242,300.2312,MORPH,[NSuff.XXIA],NSuff.FPIA,At+K,At/NSUFF_FEM_PL+K/CASE_INDEF_ACC,[fem.pl.]_+_[indef.acc.],form_gen:f form_num:p stt:i cas:a,else,FP,Base Triptote-Sound,,DROP,,0
243,300.23121,MORPH,[NSuff.XXIA],NSuff.FPIA,|t+K,|t/NSUFF_FEM_PL+K/CASE_INDEF_ACC,[fem.pl.]_+_[indef.acc.],form_gen:f form_num:p stt:i cas:a,#a>,FP A-suff,#a>,مكافآت,DROP,,1
244,300.2313,MORPH,[NSuff.XXIG],NSuff.FPIG,At+K,At/NSUFF_FEM_PL+K/CASE_INDEF_GEN,[fem.pl.]_+_[indef.gen.],form_gen:f form_num:p stt:i cas:g,else,FP,Base Triptote-Sound,,DROP,,0
245,300.23131,MORPH,[NSuff.XXIG],NSuff.FPIG,|t+K,|t/NSUFF_FEM_PL+K/CASE_INDEF_GEN,[fem.pl.]_+_[indef.gen.],form_gen:f form_num:p stt:i cas:g,#a>,FP A-suff,#a>,مكافآت,DROP,,1
246,300.2314,MORPH,[NSuff.XXIU],NSuff.FPIU,At,At/NSUFF_FEM_PL,[fem.pl.],form_gen:f form_num:p stt:i cas:u,else,FP UCase,Base UCase,موظفات,,,0
247,300.23141,MORPH,[NSuff.XXIU],NSuff.FPIU,|t,|t/NSUFF_FEM_PL,[fem.pl.],form_gen:f form_num:p stt:i cas:u,#a>,FP A-suff UCase,#a> UCase ,مكافآت,,,1
248,300.2321,MORPH,[NSuff.XXDN],NSuff.FPDN,At+u,At/NSUFF_FEM_PL+u/CASE_DEF_NOM,[fem.pl.]_+_[def.nom.],form_gen:f form_num:p stt:d cas:n,else,FP,Base Triptote-Sound,,DROP,,0
249,300.23211,MORPH,[NSuff.XXDN],NSuff.FPDN,|t+u,|t/NSUFF_FEM_PL+u/CASE_DEF_NOM,[fem.pl.]_+_[def.nom.],form_gen:f form_num:p stt:d cas:n,#a>,FP A-suff,#a>,المكافآت,DROP,,1
250,300.2322,MORPH,[NSuff.XXDA],NSuff.FPDA,At+i,At/NSUFF_FEM_PL+i/CASE_DEF_ACC,[fem.pl.]_+_[def.acc.],form_gen:f form_num:p stt:d cas:a,else,FP,Base Triptote-Sound,,DROP,,0
251,300.23221,MORPH,[NSuff.XXDA],NSuff.FPDA,|t+i,|t/NSUFF_FEM_PL+i/CASE_DEF_ACC,[fem.pl.]_+_[def.acc.],form_gen:f form_num:p stt:d cas:a,#a>,FP A-suff,#a>,المكافآت,DROP,,1
252,300.2323,MORPH,[NSuff.XXDG],NSuff.FPDG,At+i,At/NSUFF_FEM_PL+i/CASE_DEF_GEN,[fem.pl.]_+_[def.gen.],form_gen:f form_num:p stt:d cas:g,else,FP,Base Triptote-Sound,,DROP,,0
253,300.23231,MORPH,[NSuff.XXDG],NSuff.FPDG,|t+i,|t/NSUFF_FEM_PL+i/CASE_DEF_GEN,[fem.pl.]_+_[def.gen.],form_gen:f form_num:p stt:d cas:g,#a>,FP A-suff,#a>,المكافآت,DROP,,1
254,300.2324,MORPH,[NSuff.XXDU],NSuff.FPDU,At,At/NSUFF_FEM_PL,[fem.pl.],form_gen:f form_num:p stt:d cas:u,else,FP UCase,Base UCase,موظفات,,,0
255,300.23241,MORPH,[NSuff.XXDU],NSuff.FPDU,|t,|t/NSUFF_FEM_PL,[fem.pl.],form_gen:f form_num:p stt:d cas:u,#a>,FP A-suff UCase,#a> UCase ,مكافآت,,,1
256,300.2331,MORPH,[NSuff.XXCN],NSuff.FPCN,At+u,At/NSUFF_FEM_PL+u/CASE_DEF_NOM,[fem.pl.]_+_[const.nom.],form_gen:f form_num:p stt:c cas:n,!C:POSS_PRON-iy,FP,Base Triptote-Sound,,DROP,,0
257,300.2331,MORPH,[NSuff.XXCN],NSuff.FPCN,At,At/NSUFF_FEM_PL+(null)/CASE_DEF_NOM,[fem.pl.]_+_[const.nom.],form_gen:f form_num:p stt:c cas:n,C:POSS_PRON-iy,FP,Base Triptote-Sound,,DROP,,0
258,300.23311,MORPH,[NSuff.XXCN],NSuff.FPCN,|t+u,|t/NSUFF_FEM_PL+u/CASE_DEF_NOM,[fem.pl.]_+_[const.nom.],form_gen:f form_num:p stt:c cas:n,#a> !C:POSS_PRON-iy,FP A-suff,#a>,مكافآت,DROP,,1
259,300.23311,MORPH,[NSuff.XXCN],NSuff.FPCN,|t,|t/NSUFF_FEM_PL+(null)/CASE_DEF_NOM,[fem.pl.]_+_[const.nom.],form_gen:f form_num:p stt:c cas:n,#a> C:POSS_PRON-iy,FP A-suff,#a>,مكافآتي,DROP,,1
260,300.2332,MORPH,[NSuff.XXCA],NSuff.FPCA,At+i,At/NSUFF_FEM_PL+i/CASE_DEF_ACC,[fem.pl.]_+_[const.acc.],form_gen:f form_num:p stt:c cas:a,!C:POSS_PRON-iy,FP C:i#,Base Triptote-Sound,,DROP,,0
261,300.2332,MORPH,[NSuff.XXCA],NSuff.FPCA,At,At/NSUFF_FEM_PL+(null)/CASE_DEF_ACC,[fem.pl.]_+_[const.acc.],form_gen:f form_num:p stt:c cas:a,C:POSS_PRON-iy,FP,Base Triptote-Sound,,DROP,,0
262,300.23321,MORPH,[NSuff.XXCA],NSuff.FPCA,|t+i,|t/NSUFF_FEM_PL+i/CASE_DEF_ACC,[fem.pl.]_+_[const.acc.],form_gen:f form_num:p stt:c cas:a,#a> !C:POSS_PRON-iy,FP A-suff C:i#,#a>,مكافآت,DROP,,1
263,300.23321,MORPH,[NSuff.XXCA],NSuff.FPCA,|t,|t/NSUFF_FEM_PL+(null)/CASE_DEF_ACC,[fem.pl.]_+_[const.acc.],form_gen:f form_num:p stt:c cas:a,#a> C:POSS_PRON-iy,FP A-suff,#a>,مكافآتي,DROP,,1
264,300.2333,MORPH,[NSuff.XXCG],NSuff.FPCG,At+i,At/NSUFF_FEM_PL+i/CASE_DEF_GEN,[fem.pl.]_+_[const.gen.],form_gen:f form_num:p stt:c cas:g,!C:POSS_PRON-iy,FP C:i#,Base Triptote-Sound,,DROP,,0
265,300.2333,MORPH,[NSuff.XXCG],NSuff.FPCG,At,At/NSUFF_FEM_PL+(null)/CASE_DEF_GEN,[fem.pl.]_+_[const.gen.],form_gen:f form_num:p stt:c cas:g,C:POSS_PRON-iy,FP,Base Triptote-Sound,,DROP,,0
266,300.23331,MORPH,[NSuff.XXCG],NSuff.FPCG,|t+i,|t/NSUFF_FEM_PL+i/CASE_DEF_GEN,[fem.pl.]_+_[const.gen.],form_gen:f form_num:p stt:c cas:g,#a> !C:POSS_PRON-iy,FP A-suff C:i#,#a>,مكافآت,DROP,,1
267,300.23331,MORPH,[NSuff.XXCG],NSuff.FPCG,|t,|t/NSUFF_FEM_PL+(null)/CASE_DEF_GEN,[fem.pl.]_+_[const.gen.],form_gen:f form_num:p stt:c cas:g,#a> C:POSS_PRON-iy,FP A-suff,#a>,مكافآتي,DROP,,1
268,300.2334,MORPH,[NSuff.XXCU],NSuff.FPCU,At,At/NSUFF_FEM_PL,[fem.pl.],form_gen:f form_num:p stt:c cas:u,else,FP UCase,Base UCase,موظفات,,,0
269,300.23341,MORPH,[NSuff.XXCU],NSuff.FPCU,|t,|t/NSUFF_FEM_PL,[fem.pl.],form_gen:f form_num:p stt:c cas:u,#a>,FP A-suff UCase,#a> UCase ,مكافآت,,,1
270,,,,,,,,,,,,,,,
271,9.0,#,Pronomonial clitics,,,,,,,,,,,,
272,200.0,MORPH,[PRON],_,_,_,_,enc0:0,,_,_,,,DONE,
273,200.1011,MORPH,[PRON] ,niy/PRON.1S,i#niy,niy/XVSUFF_DO:1S,me,enc0:1s_dobj,ACTPART,enc0 enc0:1*,_+niy,,,DONE,
274,200.1031,MORPH,[PRON] ,nA/PRON.1P,i#nA,nA/XVSUFF_DO:1P,us,enc0:1p_dobj,ACTPART,enc0 enc0:1*,_+nA,,,DONE,
275,200.2111,MORPH,[PRON] ,ak/PRON.2MS,a#k,ak/XVSUFF_DO:2MS,you [masc.sg.],enc0:2ms_dobj,ACTPART,enc0 enc0:2*,_+ak,,,DONE,
276,200.2212,MORPH,[PRON] ,ik/PRON.2FS,ik,ik/XVSUFF_DO:2FS,you [fem.sg.],enc0:2fs_dobj,ACTPART else,enc0 enc0:2*,_+ik,,,DONE,
277,200.2215,MORPH,[PRON] ,ik/PRON.2FS,i#kiy,kiy/XVSUFF_DO:2FS,you [fem.sg.],enc0:2fs_dobj,ACTPART #^V,enc0 enc0:2*,_+ik,,,DONE,
278,200.2215,MORPH,[PRON] ,ik/PRON.2FS,i#kiy,kiy/XVSUFF_DO:2FS,you [fem.sg.],enc0:2fs_dobj,ACTPART #NEG,enc0 enc0:2*,_+ik,,,DONE,
279,200.2031,MORPH,[PRON] ,kuw/PRON.2P,u#kuw,kuw/XVSUFF_DO:2P,you,enc0:2p_dobj,ACTPART,enc0 enc0:2*,_+kuw,,,DONE,
280,200.3111,MORPH,[PRON] ,uh/PRON.3MS,u#h,uh/XVSUFF_DO:3MS,him,enc0:3ms_dobj,ACTPART else,enc0,_+uh,,,DONE,
281,200.3114,MORPH,[PRON] ,uh/PRON.3MS,u#huw,uh/XVSUFF_DO:3MS,him,enc0:3ms_dobj,ACTPART #NEG,enc0,_+uh,,,DONE,
282,200.3211,MORPH,[PRON] ,hA/PRON.3FS,a#hA,hA/XVSUFF_DO:3FS,her,enc0:3fs_dobj,ACTPART,enc0,_+hA,,,DONE,
283,200.3031,MORPH,[PRON] ,hum/PRON.3P,u#hum ,hum/XVSUFF_DO:3P,them,enc0:3p_dobj,ACTPART,enc0,_+hum,,,DONE,
284,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,
286,200.1031,MORPH,[PRON] ,nA/PRON.1P,i#nA,nA/POSS_PRON_1P,us,enc0:1p_poss,!ACTPART,C:POSS_PRON,,,,,
287,200.2111,MORPH,[PRON] ,ak/PRON.2MS,a#k,ak/POSS_PRON_2MS,you [masc.sg.],enc0:2ms_poss,!ACTPART,C:POSS_PRON,,,,,
288,200.2212,MORPH,[PRON] ,ik/PRON.2FS,ik,ik/POSS_PRON_2FS,you [fem.sg.],enc0:2fs_poss,!ACTPART else,C:POSS_PRON-i,,,,,
289,200.2215,MORPH,[PRON] ,ik/PRON.2FS,i#kiy,kiy/POSS_PRON_2FS,you [fem.sg.],enc0:2fs_poss,!ACTPART #^V,C:POSS_PRON-i,,,,,
290,200.2215,MORPH,[PRON] ,ik/PRON.2FS,i#kiy,kiy/POSS_PRON_2FS,you [fem.sg.],enc0:2fs_poss,!ACTPART #NEG,C:POSS_PRON-i,,,,,
291,200.2031,MORPH,[PRON] ,kuw/PRON.2P,u#kuw,kuw/POSS_PRON_2P,you,enc0:2p_poss,!ACTPART,C:POSS_PRON-i,,,,,
292,200.3111,MORPH,[PRON] ,uh/PRON.3MS,u#h,uh/POSS_PRON_3MS,him,enc0:3ms_poss,!ACTPART else,C:POSS_PRON-u,,,,,
293,200.3114,MORPH,[PRON] ,uh/PRON.3MS,u#huw,uh/POSS_PRON_3MS,him,enc0:3ms_poss,!ACTPART #NEG,C:POSS_PRON-u,,,,,
294,200.3211,MORPH,[PRON] ,hA/PRON.3FS,a#hA,hA/POSS_PRON_3FS,her,enc0:3fs_poss,!ACTPART,C:POSS_PRON,,,,,
295,200.3031,MORPH,[PRON] ,hum/PRON.3P,u#hum ,hum/POSS_PRON_3P,them,enc0:3p_poss,!ACTPART,C:POSS_PRON,,,,,
296,,,,,,,,,,,,,,,
297,200.1011,MORPH,[PRON] ,iy/PRON.1S,iy,iy/POSS_PRON_1S,me,enc0:1s_poss,!ACTPART,C:POSS_PRON-iy,,,,,
298,200.1011,MORPH,[PRON] ,iy/PRON.1S,ya,iy/POSS_PRON_1S,my,enc0:1s_poss,!ACTPART C:A#,C:POSS_PRON-iy,,,,,
299,200.1011,MORPH,[PRON] ,iy/PRON.1S,~a,iy/POSS_PRON_1S,my,enc0:1s_poss,!ACTPART C:ay#||C:iy#,C:POSS_PRON-iy,,,,,
