kAn	1885
qAl	1391
Eamal	698
baqaY	659
EanaY	473
$Af	365
HaSal	304
Earaf	303
rAH	209
Aaxad	186
Hab~	176
xal~aY	172
simiE	156
Aitokal~im	154
jAb	151
tam~	143
jih	142
mAt	136
lAqaY	134
daxal	129
$A'	126
>amokan	123
qAm	120
TiliE	117
fak~ar	117
Eirif	112
Darab	103
>arAd	99
nazal	98
fihim	95
kAn-u	94
katab	94
EA$	94
qidir	93
rijiE	91
sa>al	90
wajad-i	90
HAwil	87
layosa	84
Aid~aY	83
Sad~aq	82
qAl-u	81
bada>	81
sAb	80
ra>aY-a	79
AiEotaqad	76
>aSobaH	75
xaraj	74
jA	71
raHam	70
rad~	70
baS~	66
ma$aY	66
fiDil	65
sal~im	63
niEma	63
qaEad	60
nisiy	60
dafaE	59
gay~ar	59
satar	59
Ai$otagal	59
qatal	59
AixotAr	58
Hadav-u	55
waSal	55
$Al	54
qad~im	54
Ead~aY	54
TAlab	54
nizil	53
Aitoman~aY	52
nafaE	51
Eajab	50
misik	49
samaH	49
Zahar	49
waqaf	47
Hakam	47
sAEid	46
saraq	46
fataH	46
qarA	46
kam~il	45
{iHotaram	44
Talab	44
Aitofar~aj	43
Aakal	43
daEA	42
wajab-i	42
wal~aE	42
rafaE	41
waDaE	41
zAd	41
Aifotakar	40
hadaY	40
HaT~	40
baqiy-a	39
manaE	39
DiHik	39
HafaZ	39
sam~aY	38
qatal-u	38
xAf	38
Hav~	38
rajA	38
fay~i$	38
bAE	37
Haq~aq	37
>aEolan	37
saqaT	37
liEib	36
Tal~aE	36
$Arak	36
xiliS	35
taEAlaY	35
HamaY-i	35
Ai$otaraY	34
faEal-a	34
xarab	34
daw~ar	34
kal~im	33
Sal~aY	33
ra>aY	33
Hadav	33
wAfiq	33
waSal-i	33
xad	33
rikib	33
ra$~aH	33
laqaY	33
>aSolaH	32
{isotaHaq~	32
Aitogay~ar	32
Eal~im	31
waq~af	31
Eilim	31
qadar	31
AitoEal~im	31
dAfiE	30
AiEotabar	30
jaEal-a	30
waS~al	30
hAjam	30
HamaY	30
>ak~id	29
qar~ar	29
>aDAf	29
>ad~aY	29
rafaD	29
fAt	29
ramaY	29
wahaY-i	28
kaf~aY	28
>aEoTaY	28
qafal	28
waf~aq	28
Tab~aq	28
najaH	28
wiSil	28
Ainotaqam	28
>aHav~	27
qibil	27
$aw~af	27
AinotahaY	27
Zal~-a	27
baT~al	27
Aisotan~aY	27
{inotaxab	27
Saw~ar	26
sAfir	26
Ait~afaq	26
firiH	26
DaH~aY	26
waf~ar	25
samaE	25
lam~	25
Zan~	25
*ahab-a	25
mav~al	25
>ataY-i	25
tiEib	25
mi$iy	25
Ead~	24
mAl	24
$aEar-u	24
taqAl~	24
qaSad	24
mar~	24
zAl-a	24
Sal~aH	24
jaEal	24
>aSAb	24
Ainotaxab	24
nAm	23
DAE	23
Earaf-i	23
daEA-u	23
biqiy	23
xal~aS	23
ka$af	23
qara>-a	23
bArik	22
Eab~ar	22
malak-i	22
tarak-u	22
kan~	22
jazaY-i	22
{isotaTAE	22
dAm	22
ragaE	22
taman~aY	22
naZar-u	21
Hal~	21
raj~aE	21
nAdaY	21
>axa*-u	21
baEat	21
taqab~al	21
ma$~aY	21
katab-u	21
baqA	21
siqiT	21
EAnaY	21
ziEil	21
>aTolaq	20
>aroDaY	20
waj~ah	20
{it~aham	20
Haraq	20
$akar	20
qAm-u	20
banaY	20
$aHat-a	19
raw~aH	19
ham~-u	19
bal~ag	19
Aisotaxodim	19
{imotalak	19
liHiq	19
>adorak	19
$atam	19
fAq	19
libis	18
masak	18
Had~id	18
$aj~aE	18
hidiy	18
EAd-u	18
mA	18
sakat	18
razaq	18
na$ar-u	18
EanaY-i	18
HAsib	18
qaTaE	18
Ear~af	18
taHam~al	18
naSar	18
raHim-a	17
$irib	17
Ealim-a	17
hAt	17
faraq	17
Aisotamar~	17
taHad~av	17
{iEotabar	17
>a$Ar	17
yal~A	17
taHaq~aq	17
*akar	17
qal~	17
Aixotalaf	17
jar~ab	17
>ak~ad	17
EaraD	17
dax~al	17
DagaT	16
jam~aE	16
faraD-i	16
ta*ak~ar	16
kirih	16
naSar-u	16
Saraf	16
{isotaxodam	16
daEaY	16
AitoEAmil	16
law~i$	16
qabaD	16
lagaY	16
ray~aH	16
joriy	16
Hamal-i	15
ham~	15
raDaY	15
wajad	15
HArib	15
jA'	15
qad~ar	15
$A'-a	15
tAbiE	15
kasar	15
EAd	15
>aSodar	15
naqal	15
naf~a*	15
nifiE	15
>afAd	15
kisib	15
wad~aY	15
zihiq	15
Hasab	15
giliT	15
xa$~	14
mAras	14
AisotafAd	14
tam~-i	14
AitoHaw~il	14
Day~aE	14
Sar~aH	14
{ifotakar	14
SAr	14
SabaH	14
Daman	14
hataf-i	14
taHAkam	14
gafar	14
AirotAH	13
Aitojaw~iz	13
*akar-u	13
>aEad~	13
HAfaZ	13
Aitoxay~il	13
AiEotaraf	13
daras	13
faqad-i	13
baHav-a	13
taxay~al	13
AiHotAj	13
zAr	13
qalab	13
naw~ar	13
war~aY	13
Haw~il	13
Eal~aq	13
>adAr	13
>aqAm	13
Aitoqad~im	13
saq~aT	13
waqaf-i	13
daxal-u	13
AibotadA	13
Eay~aT	13
zaw~id	12
haz~ar	12
qar~ab	12
tawaj~ab	12
wiqif	12
dAfaE	12
waz~aE	12
Zan~-u	12
{inotaqad	12
hAn	12
waSaf-i	12
$aw~ih	12
saEaY	12
rafaD-u	12
kAd-a	12
karih-a	12
jaraY	12
Aihotam~	12
sAhim	12
vabat	12
>av~ar	12
HArab	12
sal~am	12
qisim	12
>akoram	12
Halam-u	12
Sab~ar	12
fa$al	12
maw~it	12
bAn	12
rakaE-a	12
naz~il	12
AisotAhil	11
>aHab~	11
laqiy-a	11
faEal	11
AitoEamal	11
>ay~ad	11
naf~i*	11
fah~im	11
faqad	11
dam~ar	11
Aisotagorab	11
waD~aH	11
tazaw~aj	11
wal~aY	11
jAwab	11
badA-u	11
nasaY	11
taEar~aD	11
$Ahad	11
>avobat	11
taZAhar	11
fAz-u	11
tabar~aE	11
waq~aE	11
sAq	11
qiliq	10
nakar	10
sab~	10
{isotafaz~	10
taHaw~al	10
{ixotalaf	10
far~aq	10
takal~am	10
Har~ak	10
{isotagal~	10
zAd-i	10
>aloqaY	10
sAwaY	10
wadaE-a	10
had~ad	10
xAlif	10
AitoHar~ak	10
{inotaZar	10
fAja>	10
{iEotaraD	10
tanaf~a*	10
>aqonaE	10
HaS~al	10
sAmiH	10
EAmil	10
faraD	10
{inofaEal	10
{inohAr	10
taqad~am	10
waqaE	10
sayTar	10
wajaE	10
>istawdaE	10
qabil-a	10
<it~aqaY	10
{iHotafal	10
waEaY	9
AitoSar~af	9
tawal~aY	9
|man	9
>avAr	9
{isotamar~	9
sAnad	9
*Al	9
taHad~aY	9
sAmaH	9
xaT~aT	9
$ahid-a	9
say~ib	9
Taw~il	9
>azAl	9
>aEAd	9
Eamil-a	9
AiEotaraD	9
{ikota$af	9
Ait~aSal	9
tarak	9
nAqi$	9
>adAn	9
TAlib	9
Aisotagal~	9
dafaE-a	9
{iEotaqad	9
>awDaH	9
bada>-a	9
sikit	9
yas~ar	9
>afosad	9
|miyn	9
had~aY	9
wiqiE	9
$ag~al	9
galiT-a	9
Sabar	9
{iEotaSam	9
fak~	9
Ait~aham	9
Hab~-i	9
|amiyn	9
raHal	9
qabal	8
HakaY	8
kal~if	8
taEab	8
qAbil	8
>anokar	8
SiHiy	8
tabiE-a	8
EadA	8
bAs	8
nasiy-a	8
SanaE-a	8
{iEotaqal	8
samaH-a	8
lAm-u	8
>aZohar	8
manaH-a	8
raDiy-a	8
giliy	8
taEad~aY	8
sah~il	8
tajAwaz	8
mAt-u	8
qaDaY	8
taHar~ak	8
giriq	8
AinoTalaq	8
{inoDam~	8
$araH	8
}istaTAE	8
Eaw~aD	8
kasaf	8
xabaT	8
EAn	8
qaSad-i	8
tanAqa$	8
wAjih	8
bArak	8
waDaH	8
xisir	8
>arosal	8
dAr	8
sAr-i	8
naTaq	8
wafaY-i	8
Sadaq	8
xad~-u	8
TaraH-a	8
>anosaY	8
nadim-a	8
kat~ar	8
Had~	8
faSal-i	8
Aitowaq~aE	8
{iHotasab	8
qAd-u	8
na$ar	8
rab~aY	8
HafiZ	8
{ilotazam	8
>ajobar	8
Tam~an	7
rak~ib	7
xaS~-u	7
daEam-a	7
sabaq-iu	7
taEaj~ab	7
HASar	7
wabaq	7
xadaE-a	7
tarAjaE	7
ragib-a	7
riDiy	7
Ai$otakaY	7
nAl-a	7
>afoqad	7
bar~ar	7
>afAq	7
Aitodax~al	7
bAn-i	7
naZ~am	7
AiEotamad	7
balag-u	7
SaH~	7
Sadar-u	7
kafaY-i	7
>aEAn	7
fataH-a	7
tawaq~aE	7
mAl-i	7
talaq~aY	7
qaw~am	7
DaHik-a	7
>axoTa>	7
EAqab	7
tAbaE	7
$agal	7
kidib	7
AistAhil	7
{inosaHab	7
daE~am	7
taEAmal	7
xalaS	7
$ad~	7
qaT~aE	7
Saw~at	7
AiqotanaE	7
EAlij	7
sa>al-a	7
>a*AE	7
laf~	7
tara$~aH	7
laHaq	7
>aHoraq	7
AitoEar~aD	7
waEad	7
far~aj	7
qaraf	7
lahA	7
rak~iz	7
>axorab	7
fAq-u	7
AixtAr	7
nafaY	7
>asoqaT	7
lAq-i	7
qas~am	7
SalaH	7
taHAsab	7
bAt	7
>amar	7
qaD~aY	6
waqaY-i	6
xadam	6
far~aT	6
Ha*~ar	6
rad~-u	6
AitoEaraD	6
qArin	6
>ataY	6
dal~	6
zaE~al	6
qATaE	6
kibir	6
rAjiE	6
taEAraD	6
HaSal-u	6
Hakam-u	6
{izodAd	6
dab~ar	6
sab~ib	6
waEad-i	6
qaraY-i	6
{ilotafat	6
saHab	6
>aj~ar	6
waham-i	6
Haw~i$	6
HAwal	6
baHav	6
waqaE-a	6
wad	6
>a$oEal	6
Aitokar~ar	6
{irotadaY	6
>axa*	6
hal~al	6
Hay~-a	6
saEaY-a	6
saEad	6
$aw~ah	6
rad~ad	6
jAz	6
fAz	6
xuluS	6
$atam-iu	6
takaw~an	6
TAl	6
>aHAl	6
{iqotaHam	6
HAsab	6
{ixotAr	6
Aikota$af	6
kas~ar	6
had~	6
Eaz~	6
faD~al	6
{ilotaqaY	6
EAraD	6
xar~aj	6
tasab~ab	6
xaraj-u	6
karah	6
>ak~il	6
{iHotawaY	6
Taw~al	6
>atam~	6
xarab-i	6
xar~ab	6
Ait~aroyaq	6
{inofaSal	6
Aitosaraq	6
xa*al-u	6
tafar~aj	6
>aEojab	6
faj~ar	6
jah	6
xa$iy-a	6
Eal~aY	6
jah~iz	6
far~aH	6
mar~-u	6
taEad~al	6
HAkam	6
rAEaY	6
AiHotafal	6
qal~al	6
qaTaE-a	6
naEaY-i	6
byE	5
qal~ad	5
>aw~il	5
Has~is	5
biEid	5
gazA-u	5
Hamad	5
AitoEar~af	5
{isotaworad	5
TAr	5
qal~-i	5
Aitokasaf	5
AinotaZar	5
>atobaE	5
jalas-i	5
EAdal	5
>ahodar	5
kar~ar	5
xasir-a	5
dAs-u	5
>alogaY	5
waj~ih	5
wAjah	5
xalaY	5
Ainota$ar	5
waliy-i	5
Ead~-u	5
HaDar	5
naj~aY	5
bAZ	5
*Akir	5
>adoman	5
>aqar~	5
nAsab	5
AitoHakam	5
>aEaz~	5
nahab-ua	5
AirotafaE	5
>abodaY	5
kar~am	5
nAfaq	5
badA	5
bAE-i	5
tajar~a>	5
AintamaY	5
vAr-u	5
tamav~al	5
$ar~af	5
Ai$otarak	5
Aisotaqar~	5
$ihid	5
Sar~ax	5
Haram-iu	5
>anotaj	5
>aj~il	5
qal~il	5
haz~-u	5
nawaY-i	5
Aito>ak~id	5
>aEo*ar	5
tafar~aq	5
>aEodam	5
>am~in	5
saj~il	5
zaE~aq	5
>ax~ar	5
daH~ak	5
waHa$	5
tawaf~ar	5
|l-u	5
qaf~il	5
{iEota*ar	5
$Awar	5
>azoEaj	5
>ay~id	5
tawaf~aY	5
sAb-i	5
{ikotamal	5
harab-u	5
Har~aD	5
EaT~al	5
fat~a$	5
>anoqa*	5
taxAnaq	5
nahaD-a	5
raH~ab	5
har~ab	5
naq~aY	5
{igotAl	5
malA	5
Has~in	5
{ikotasaH	5
$ak~	5
{iEotAd	5
taEATaf	5
$abiE-a	5
>awoSal	5
fAd	5
sAl	5
Aitoqatal	5
bakaY-i	5
waviq-ia	5
{inotaSar	5
{isotawodaE	5
AinoDam~	5
>asolam	5
naD~af	5
>adolaY	5
harab	5
Zalam-ia	5
Taw~ar	5
Sad~ar	5
zAE	5
Aisotalaf	5
{iqotanaE	4
lafaZ-i	4
xaS~aS	4
waS~aY	4
dafan-i	4
Tam~in	4
{isotasolam	4
AiDoTar~	4
$aH~at	4
AitoSaw~ar	4
qaS~ar	4
mas~-a	4
wanaY-i	4
ganaY	4
hadam-i	4
jamaE-a	4
dAraY	4
EAdaY	4
sad~	4
Hal~aY	4
Eahid-a	4
>ajAd	4
>ahAn	4
tawaq~af	4
wakal-i	4
taqal~ab	4
HalaY	4
lAHaZ	4
fa$il-a	4
AisotaqAl	4
dAn-i	4
Eam~ar	4
Aitokal~if	4
jaw~iz	4
Dam~	4
qara>	4
Aixtalaf	4
lazam	4
>asokan	4
tasA'al	4
wasiE-a	4
{ifotaxar	4
kafaY	4
$abah	4
AaraY	4
{isotanad	4
>a*al~	4
diriy	4
*ak~ar	4
giDib	4
{isotaHoyaY	4
mak~an	4
dAs	4
Aito*ak~ar	4
Zahar-a	4
EaraD-i	4
{ikotafaY	4
qad~am	4
gan~aY	4
samiE-a	4
sajan	4
Eam~-u	4
Hay~A	4
TaEan-a	4
jaraY-i	4
gAZ	4
xal~if	4
maH~aY	4
xanaq-u	4
saHal-a	4
taSaw~ar	4
{inofajar	4
jad~id	4
naEam-ua	4
Zab~aT	4
Aito>ax~ar	4
tahar~ab	4
raqaS	4
AitonAzil	4
qArab	4
$amil-a	4
nazal-i	4
sal~aT	4
qabaD-i	4
bAt-i	4
{iHotAj	4
sA'-u	4
faD~aY	4
ZabaT	4
DAr-i	4
TafA-u	4
xalaf	4
qAbal	4
faS~al	4
Aitowaq~af	4
xaliq-a	4
{ixotaraE	4
{inotamaY	4
$ak~al	4
*ahab	4
>asA'	4
tafar~ag	4
taDam~an	4
sawar	4
qaDaY-i	4
wASil	4
gaT~aY	4
{irotakab	4
SaH~aH	4
kariy-a	4
wad~aE	4
Aitomat~aE	4
AiqotaraH	4
waHaY-i	4
xAn-u	4
Aitofas~aH	4
jamaE	4
$al~-a	4
rafaE-a	4
Har~aq	4
>an~-i	4
AisotaTAE	4
tabay~an	4
ra$~	4
na>aY-a	4
talAEab	4
>afolat	4
AiSoTAd	4
AiEtanaq	4
rat~ib	4
Had~iv	4
>agolaq	4
jaw~al	4
HaZiy-a	4
Hak~im	4
xAlaf	4
gilib	4
{i$otaEal	4
jarA	4
bakaY	4
{isotahodaf	4
tanaH~aY	4
AitoEaw~id	4
waH~id	4
sax~an	4
Ealim	4
makar-u	4
*Ab-u	4
qay~am	4
{isotayoqaZ	4
tarad~ad	4
$Ahid	4
taHar~a$	4
AitoqAbil	4
bahodal	4
taEal~am	4
>abaY	4
{isotaEAd	4
jaz~a>	4
{it~aHad	4
AaDAf	4
Eavar-u	4
baq~-u	4
galaY-i	3
qal~id	3
lAyan	3
taqaY-i	3
lAn	3
say~ab	3
HAfiZ	3
Hilif	3
sowaY	3
Eiliy	3
>aHoyaY	3
{it~ajah	3
bakiy-a	3
SaEub-u	3
Dagat	3
>aTAH	3
tawak~al	3
gar~aq	3
{isotaqobal	3
jaraH-a	3
>anoSaf	3
{iHotal~	3
maval-u	3
Zalam	3
Sarax-u	3
{iZ~alam	3
HaraD-i	3
Eam~am	3
silim	3
taEaw~ad	3
Hasam-i	3
{inobagaY	3
sax~ar	3
xAf-a	3
sAEad	3
xalaE-a	3
rAqab	3
qahar-a	3
>akosab	3
Eabar-u	3
hazam-i	3
tabAhaY	3
Had~ad	3
$am~aE	3
xaraq-iu	3
>awoEad	3
qAd	3
{inotahaY	3
rabaT-ui	3
EAmal	3
>ahodaY	3
mal~aY	3
tamat~aE	3
qaEad-u	3
bav~-u	3
kitir	3
$ak~-u	3
{iqotAt	3
balag	3
sakan	3
ra>af-a	3
nad~ad	3
{isotafAd	3
>agoraY	3
taEib-a	3
nAqa$	3
jAhad	3
hay~a>	3
taSAlaH	3
rajA-u	3
AixotafaY	3
{iHotamal	3
Aisotaqobil	3
>akal-u	3
galA	3
lamas	3
wakaY-i	3
San~aE	3
>as~as	3
xalaq-u	3
{inotaqam	3
fahim-a	3
Aistagal~	3
sam~aE	3
lahA-u	3
tanAsaY	3
tafAEal	3
sAham	3
>abokaY	3
raqaS-u	3
sahul-u	3
{inotaqal	3
{isotabodal	3
Eaqal-i	3
naS~ab	3
law~am	3
xAD-u	3
nafaE-a	3
saHab-a	3
sakat-u	3
tamak~an	3
taxal~aY	3
laEan-a	3
ka*ab-i	3
faDaH-a	3
Ham~al	3
Hizin	3
Ha*af-i	3
xab~aT	3
xiliy	3
xaSaY-i	3
Aitoqabal	3
sAd-u	3
{iEotaraf	3
>asofar	3
baEav-a	3
TAr-i	3
{inoqaTaE	3
TamaY-i	3
AiEotaSam	3
taban~aY	3
nA$ad	3
Sar~af	3
>anoEam	3
>atoHaf	3
qasam-i	3
>ahomal	3
tanAwal	3
maw~al	3
{iqotaSar	3
bay~an	3
{iEotaz~	3
maDaY	3
sAq-u	3
{it~aqaY	3
jal~	3
>atAH	3
naqad-u	3
wAfaq	3
{isotadoEaY	3
ramaY-i	3
>aHosan	3
SaH~aY	3
{isotarAd	3
nataj-i	3
xijil	3
>amal	3
baraz-u	3
saraY-i	3
>aTAl	3
SiEib	3
ta>aj~al	3
{id~aEaY	3
mat~-u	3
{it~axa*	3
EafA-u	3
$arib-a	3
ma$aY-i	3
zaraE	3
takar~am	3
Tarad-u	3
lAq	3
saj~al	3
>asoraE	3
Eabiv-a	3
zaraE-a	3
qal~ab	3
Aitoxal~aS	3
lafat	3
>abodaE	3
rak~az	3
janaY-i	3
saw~aY	3
qadar-i	3
TalaE-u	3
bak~aY	3
Aito>aj~ar	3
EAfaY	3
Eay~a$	3
Ait~Axid	3
sabaY-i	3
Taq~	3
AitnAqi$	3
niDif	3
nasab-ui	3
Aitojan~in	3
satar-ui	3
laEan	3
laHiq-a	3
AisotaEomil	3
Ait~aqaY	3
Tah~ar	3
Eam~	3
>ajoraY	3
AiHotaram	3
fisid	3
mAris	3
raHal-a	3
zAl	3
{inotazaE	3
tanAzal	3
{iHotaDan	3
{ifotaraD	3
jaraH	3
salim-a	3
talA-u	3
xalaq	3
sayoTar	3
jAl-u	3
jAl	3
>amolaY	3
waH~ad	3
Eaz~-i	3
ta>av~ar	3
>afotaY	3
{inoqasam	3
laTaf	3
>aqosam	3
Hajaz	3
jas~-u	3
<itokal~im	3
>amar-u	3
EAtab	3
naSaH-a	3
sihir	3
>anaY-i	3
Hasib-i	3
naha$-i	3
>abAd	3
waliE-a	3
Sabar-i	3
sad~id	3
bay~in	3
waDaH-i	3
>aforaj	3
Sal~	3
{inotafaD	3
EAv	3
tawaj~ah	3
nafid-a	3
{inodas~	3
nAwaY	3
>aSar~	3
$afaY	3
$al~	3
>abAt	3
najaH-a	3
>ajAb	3
Har~am	3
$Arik	3
zAl-u	3
naqal-u	3
>ahorab	3
xAn	3
EAnad	3
fataY	3
masaH	3
AitoHam~il	3
tawaE~ad	3
Ead~il	3
Aitofaham	3
>aloham	3
warad	3
walad-i	3
wilid	3
AiEota*ar	3
>aHal~	3
AitoHal~	3
>avAb	3
nijiH	3
HariS-a	3
Talab-u	3
Eadal	3
Eaz~az	3
masaH-a	3
sab~ab	3
qar~-ia	3
Aistalaf	3
was~aE	3
saw~aq	3
Aitobar~aE	3
nAsib	3
tAm	3
jalad-i	3
taHaj~ab	3
Har~ar	3
laz~aq	3
danA-u	3
Eaj~ab	3
qATiE	3
<ixoS	3
tawAfaq	3
har~aj	2
Hay~ar	2
hAtaY	2
Aitonaf~is	2
AisotaHaY	2
Halaq-i	2
Aitgar~ab	2
qaliy-a	2
>aham~	2
AitofAhim	2
<itobar~aE	2
dAyiq	2
$akA-u	2
baq~	2
>awoHaY	2
<inotaxab	2
laja>-a	2
Sab~-u	2
xalaT-i	2
sab~-u	2
taTAwal	2
qAran	2
Eay~an	2
raEaY-a	2
lahav-a	2
Ainohazam	2
tajAhal	2
>axoraj	2
{i$otaraY	2
kal	2
<itoqalab	2
maromaT	2
tasAmaH	2
jan~ad	2
lakin-a	2
Aitojas~is	2
qaw~aY	2
Hasam	2
{it~abaE	2
{isotawolaY	2
rAhan	2
{irotafaE	2
$ak~ak	2
qAs	2
Saraf-i	2
hirib	2
xAr-i	2
yat~im	2
tAb	2
>aqal~	2
saw~al	2
raq~-i	2
$abaE	2
AijotamaE	2
DAq	2
sad~-u	2
tazAHam	2
ta*aw~aq	2
far~	2
EAya$	2
tajad~ad	2
ta$Arak	2
>anofa*	2
SAlaH	2
gAb-i	2
Eaqab-u	2
Eayiy-a	2
{inofaD~	2
hal~-i	2
xafaY-i	2
taray~aD	2
{ixotanaq	2
Ai$takaY	2
{i$otakaY	2
falaH	2
HawaY-i	2
{ifotaEal	2
>abolag	2
>adoxal	2
Ait~aDaH	2
Aistanad	2
{inotahak	2
kal~af	2
tanAqal	2
>aqAl	2
bAl	2
haz~	2
{inotaqaY	2
{ibotaEad	2
>aforaz	2
say~ar	2
>as~is	2
>adoraj	2
$amal-u	2
saraq-i	2
{inotAb	2
faram	2
rixiS	2
daq~-u	2
>anojab	2
rad~id	2
xaT~aY	2
>abaY-a	2
xalA-u	2
$araH-a	2
{imotad~	2
*al~	2
nAt-u	2
jaw~aE	2
daq~aq	2
AitobaEat	2
naSaH	2
taHar~aj	2
{isotaEoTaf	2
>adoraY	2
tajan~ab	2
>afoHam	2
{inoTabaq	2
Ead~al	2
>atay	2
Aisotawqaf	2
tarak~az	2
samA-u	2
dahas-a	2
{isotaqar~	2
AinohAl	2
faxar	2
Eamiy-a	2
{irotAH	2
talaw~av	2
{igotaSab	2
tanaf~as	2
*ak~aY	2
>aHobaT	2
>axolaY	2
tasal~am	2
{isotaEAn	2
ras~aY	2
HaSad	2
>amohal	2
$amit-a	2
baEad	2
SaHA-u	2
>ahowaY	2
laqaT-u	2
kas~al	2
Hal~al	2
Sadar	2
{i$otaraT	2
tagay~ar	2
dAham	2
xalaS-u	2
lAEib	2
>awojad	2
lizim	2
Aitowalad	2
EalA-u	2
fara$	2
{isotaxaf~	2
>aTAE	2
nahab	2
>ajohaD	2
lAHiZ	2
mala>-a	2
tabaq~aY	2
Hat~-u	2
>anozal	2
kaw~in	2
{inoTawaY	2
{it~afaq	2
kafal-i	2
han~a>	2
sajad-u	2
kAfaH	2
saruE-u	2
$ad~-iu	2
<intahak	2
Eal~am	2
AifotaraD	2
AiEotaz~	2
naw~ah	2
>asif-a	2
{iqotarab	2
banaY-i	2
Dax~-u	2
habaT	2
kaw~an	2
nabaE-uia	2
>a$AE	2
liqiy	2
>ano$ad	2
faw~it	2
$aE~al	2
laq~an	2
>ajal-a	2
Dax~am	2
Eakas-i	2
rasam	2
AixotaraE	2
$aHan	2
tamAdaY	2
mali}-a	2
tAh	2
daraY-i	2
xaTaf	2
taTaw~ar	2
ba*al-u	2
nadah-a	2
taEAwan	2
saw~a>	2
AitodAyiq	2
{isotatar	2
tarojim	2
>aDar~	2
>aHas~	2
>akan~	2
AitoHas~in	2
taSad~aY	2
>akofal	2
{ijotahad	2
xabaT-i	2
>aSoHaY	2
faD~	2
AinotaHar	2
Tal~aq	2
qirif	2
TabaE-a	2
xaroba$	2
naZ~af	2
AitoHar~a$	2
xab~aY	2
tabaE	2
waf~aY	2
Eaq~ad	2
>aHodav	2
AitoxAniq	2
jaru&-u	2
mAs-i	2
Aitoxal~aY	2
zanaY-i	2
$ar~aE	2
dal~-u	2
>ahAb	2
hay~aj	2
AinoDarab	2
{inotasab	2
