CLASS	Lemma	Stem	POS	MS	MD	MP	FS	FD	FP	Suffixes	QC	COMMENTS	Definition
#aY-Ap-y	أذَى	أَذ	NOUN	أَذَى / أَذاه (ms)	أَذَيَيْن / أَذَيَيْنُه (md)	-	-	-	-	X+aY / X+Au#h|||X+ayayon / X+ayayonu#h|||X+iyn / X+iynu#h|||X+Aap / X+Ai#tu#h|||X+Ai#tayon / X+Ai#tayonu#h|||X+ayAt / X+ayAtu#h	OK		
#aY-Ap-y	مُستَوَى	مُستَو	NOUN	مُستَوَى / مُستَواه (ms)	مُستَوَيَيْن / مُستَوَيَيْنُه (md)	-	-	-	مُستَوَيات / مُستَوَياتُه (mp)	X+aY / X+Au#h|||X+ayayon / X+ayayonu#h|||X+iyn / X+iynu#h|||X+Aap / X+Ai#tu#h|||X+Ai#tayon / X+Ai#tayonu#h|||X+ayAt / X+ayAtu#h	OK		
#aY-Ap-y	مُستَشفَى	مُستَشف	NOUN	مُستَشفَى / مُستَشفاه (ms)	-	-	-	مُستَشفاتَيْن / مُستَشفاتَيْنُه (md)	مُستَشفَيات / مُستَشفَياتُه (mp)	X+aY / X+Au#h|||X+ayayon / X+ayayonu#h|||X+iyn / X+iynu#h|||X+Aap / X+Ai#tu#h|||X+Ai#tayon / X+Ai#tayonu#h|||X+ayAt / X+ayAtu#h	PROB	aY-at	
#aY-Ap-y	مُسَمَّى	مُسَمّ	ADJ	مُسَمَّى / مُسَمّاه (ms)	مُسَمَّيَيْن / مُسَمَّيَيْنُه (md)	مُسَمِّين / مُسَمِّينُه (mp)	مُسَمّاة / مُسَمّاتُه (fs)	مُسَمّاتَيْن / مُسَمّاتَيْنُه (fd)	مُسَمَّيات / مُسَمَّياتُه (fp)	X+aY / X+Au#h|||X+ayayon / X+ayayonu#h|||X+iyn / X+iynu#h|||X+Aap / X+Ai#tu#h|||X+Ai#tayon / X+Ai#tayonu#h|||X+ayAt / X+ayAtu#h	PROB	mp is incorrect	
#aY-Ap-y	فَتوَى	فَتو	NOUN / NOUN	فَتوَة / فَتوِتُه (fs) // فَتوَى / فَتواه (fs)	-	-	-	-	-	X+aY / X+Au#h|||X+ayayon / X+ayayonu#h|||X+iyn / X+iynu#h|||X+Aap / X+Ai#tu#h|||X+Ai#tayon / X+Ai#tayonu#h|||X+ayAt / X+ayAtu#h	PROB	md fd	
#aY-Ap-y	مُباراة	مُبار	NOUN	-	-	-	مُباراة / مُباراتُه (fs)	مُباراتَيْن / مُباراتَيْنُه (fd)	مُبارَيات / مُبارَياتُه (fp)	X+aY / X+Au#h|||X+ayayon / X+ayayonu#h|||X+iyn / X+iynu#h|||X+Aap / X+Ai#tu#h|||X+Ai#tayon / X+Ai#tayonu#h|||X+ayAt / X+ayAtu#h	OK		
#aY-Ap-y	غِنَى	غِن	NOUN	غِنَى / غِناه (ms)	غِنَيَيْن / غِنَيَيْنُه (md)	-	-	-	-	X+aY / X+Au#h|||X+ayayon / X+ayayonu#h|||X+iyn / X+iynu#h|||X+Aap / X+Ai#tu#h|||X+Ai#tayon / X+Ai#tayonu#h|||X+ayAt / X+ayAtu#h	OK		
#aY-Ap-y	أُخرَى	أُخر	ADJ	أُخرَى / أُخراه (fs)	-	-	-	-	-	X+aY / X+Au#h|||X+ayayon / X+ayayonu#h|||X+iyn / X+iynu#h|||X+Aap / X+Ai#tu#h|||X+Ai#tayon / X+Ai#tayonu#h|||X+ayAt / X+ayAtu#h	PROB	aY-at	
#aY-Ap-y	حَتَّى	حَتّ	ADJ	حَتَّى / حَتّاه (ms)	-	-	-	-	-	X+aY / X+Au#h|||X+ayayon / X+ayayonu#h|||X+iyn / X+iynu#h|||X+Aap / X+Ai#tu#h|||X+Ai#tayon / X+Ai#tayonu#h|||X+ayAt / X+ayAtu#h	PROB	MOVE	
#aY-Ap-y	جاي	جاي	ADJ	جايَى / جاياه (ms)	جايَيَيْن / جايَيَيْنُه (md)	جايِين / جايِينُه (mp)	جاياة / جاياتُه (fs)	جاياتَيْن / جاياتَيْنُه (fd)	-	X+aY / X+Au#h|||X+ayayon / X+ayayonu#h|||X+iyn / X+iynu#h|||X+Aap / X+Ai#tu#h|||X+Ai#tayon / X+Ai#tayonu#h|||X+ayAt / X+ayAtu#h	PROB	STEM	
#aY-Ap-y	فَحوَى	فَحو	NOUN	فَحوَى / فَحواه (fs)	فَحوَيَيْن / فَحوَيَيْنُه (fd)	-	-	-	فَحوَيات / فَحوَياتُه (fp)	X+aY / X+Au#h|||X+ayayon / X+ayayonu#h|||X+iyn / X+iynu#h|||X+Aap / X+Ai#tu#h|||X+Ai#tayon / X+Ai#tayonu#h|||X+ayAt / X+ayAtu#h	OK		
#aY-Ap-y	مِعَى	مِعا	NOUN	مِعاَى / مِعااه (ms)	مِعاَيَيْن / مِعاَيَيْنُه (md)	-	-	-	مِعاَيات / مِعاَياتُه (fp)	X+aY / X+Au#h|||X+ayayon / X+ayayonu#h|||X+iyn / X+iynu#h|||X+Aap / X+Ai#tu#h|||X+Ai#tayon / X+Ai#tayonu#h|||X+ayAt / X+ayAtu#h	PROB		
#aY-Ap-y	أَمثَل	مُثل	ADJ	مُثلَى / مُثلاه (ms)	مُثلَيَيْن / مُثلَيَيْنُه (md)	-	-	-	-	X+aY / X+Au#h|||X+ayayon / X+ayayonu#h|||X+iyn / X+iynu#h|||X+Aap / X+Ai#tu#h|||X+Ai#tayon / X+Ai#tayonu#h|||X+ayAt / X+ayAtu#h	OK	aY-at	
#aY-Ap-y	قَتِيل	قَتل	NOUN	قَتلَى / قَتلاه (mp)	-	-	-	-	-	X+aY / X+Au#h|||X+ayayon / X+ayayonu#h|||X+iyn / X+iynu#h|||X+Aap / X+Ai#tu#h|||X+Ai#tayon / X+Ai#tayonu#h|||X+ayAt / X+ayAtu#h	OK		
#aY-Ap-y	أَسمَى	أَسم	ADJ_COMP	أَسمَى / أَسماه (ms)	-	-	-	-	-	X+aY / X+Au#h|||X+ayayon / X+ayayonu#h|||X+iyn / X+iynu#h|||X+Aap / X+Ai#tu#h|||X+Ai#tayon / X+Ai#tayonu#h|||X+ayAt / X+ayAtu#h	OK		
#A'	راء	را	NOUN	راء / راءُه (ms)	راءَيْن / راءَيْنُه (md)	-	-	-	راءات / راءاتُه (mp)	X+' / X+'u#h|||X+'ayon / X+'ayonu#h|||X+}iyn / X+}iynu#h|||X+'ap / X+'i#tu#h|||X+'i#tayon / X+'i#tayonu#h|||X+'At / X+'Atu#h	OK		this class is for nominal stems ending with hamza that change by attaching to suffix as in the following examples
#A'	أَداء	أَدا	NOUN	أَداء / أَداءُه (ms)	أَداءَيْن / أَداءَيْنُه (md)	-	-	-	-	X+' / X+'u#h|||X+'ayon / X+'ayonu#h|||X+}iyn / X+}iynu#h|||X+'ap / X+'i#tu#h|||X+'i#tayon / X+'i#tayonu#h|||X+'At / X+'Atu#h	OK		this class is for nominal stems ending with hamza that change by attaching to suffix as in the following examples
#A'	رَأي	آرا	NOUN	آراء / آراءُه (mp)	-	-	-	-	-	X+' / X+'u#h|||X+'ayon / X+'ayonu#h|||X+}iyn / X+}iynu#h|||X+'ap / X+'i#tu#h|||X+'i#tayon / X+'i#tayonu#h|||X+'At / X+'Atu#h	OK		this class is for nominal stems ending with hamza that change by attaching to suffix as in the following examples
#A'	شَيء	أَشيا	NOUN	أَشياء / أَشياءُه (mp)	-	-	-	-	-	X+' / X+'u#h|||X+'ayon / X+'ayonu#h|||X+}iyn / X+}iynu#h|||X+'ap / X+'i#tu#h|||X+'i#tayon / X+'i#tayonu#h|||X+'At / X+'Atu#h	OK	m is removed from gender	this class is for nominal stems ending with hamza that change by attaching to suffix as in the following examples
#A'	وَراء	وَرا	NOUN	وَراء / وَراءُه (ms)	-	-	-	-	-	X+' / X+'u#h|||X+'ayon / X+'ayonu#h|||X+}iyn / X+}iynu#h|||X+'ap / X+'i#tu#h|||X+'i#tayon / X+'i#tayonu#h|||X+'At / X+'Atu#h	PROB	MOVE	this class is for nominal stems ending with hamza that change by attaching to suffix as in the following examples
#A'	حَيّ	أَحيا	ADJ	أَحياء / أَحياءُه (mp)	-	-	-	-	-	X+' / X+'u#h|||X+'ayon / X+'ayonu#h|||X+}iyn / X+}iynu#h|||X+'ap / X+'i#tu#h|||X+'i#tayon / X+'i#tayonu#h|||X+'At / X+'Atu#h	OK		this class is for nominal stems ending with hamza that change by attaching to suffix as in the following examples
#A'	بَنّاء	بَنّا	ADJ	بَنّاء / بَنّاءُه (ms)	بَنّاءَيْن / بَنّاءَيْنُه (md)	بَنّائِين / بَنّائِينُه (mp)	بَنّاءَة / بَنّاءتُه (fs)	بَنّاءتَيْن / بَنّاءتَيْنُه (fd)	بَنّاءات / بَنّاءاتُه (fp)	X+' / X+'u#h|||X+'ayon / X+'ayonu#h|||X+}iyn / X+}iynu#h|||X+'ap / X+'i#tu#h|||X+'i#tayon / X+'i#tayonu#h|||X+'At / X+'Atu#h	OK		this class is for nominal stems ending with hamza that change by attaching to suffix as in the following examples
L# #iy~	لَبَنِي	لَبَن	ADJ	لَبَنِي / لَبَنِيه (ms)	لَبَنِيَّيْن / لَبَنِيَّيْنُه (md)	لَبَنِيِّين / لَبَنِيِّينُه (mp)	لَبَنِيَّة / لَبَنِيّتُه (fs)	لَبَنِيّتَيْن / لَبَنِيّتَيْنُه (fd)	لَبَنِيّات / لَبَنِيّاتُه (fp)	X+iy / X+iyu#h|||X+iy~ayon / X+iy~ayonu#h|||X+iy~iyn / X+iy~iynu#h|||X+iy~ap / X+iy~i#tu#h|||X+iy~i#tayon / X+iy~i#tayonu#h|||X+iy~At / X+iy~Atu#h	PROB	FS-FD-FP	"this class is for nominal stems starting with ""l"" and ending with ""iy"" that are affected by attached suffixes and clitics to produce differnt forms "
L# #iy~	لَلِّي	لَلّ	NOUN	لَلِّي / لَلِّيه (ms)	لَلِّيَّيْن / لَلِّيَّيْنُه (md)	-	-	-	-	X+iy / X+iyu#h|||X+iy~ayon / X+iy~ayonu#h|||X+iy~iyn / X+iy~iynu#h|||X+iy~ap / X+iy~i#tu#h|||X+iy~i#tayon / X+iy~i#tayonu#h|||X+iy~At / X+iy~Atu#h	OK		"this class is for nominal stems starting with ""l"" and ending with ""iy"" that are affected by attached suffixes and clitics to produce differnt forms "
L# #aY	لَدَى	لَدَى	NOUN	لَدَى / لَدَىُه (ms)	لَدَىَيْن / لَدَىَيْنُه (md)	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h||||||||||||	PROB	MOVE	
#ap-at	صِفَة	صِف	NOUN	-	-	-	صِفَة / صِفَتُه (fs)	صِفَتَيْن / صِفَتَيْنُه (fd)	صِفات / صِفاتُه (fp)	|||||||||X+ap / X+atu#h|||X+atayon / X+atayonu#h|||X+At / X+Atu#h	OK		
#o'-con	بَرِيء	بَرِي	ADJ	بَرِيء / بَرِيءُه (ms)	بَرِيئَيْن / بَرِيئَيْنُه (md)	بَرِيئِين / بَرِيئِينُه (mp)	بَرِيئَة / بَرِيئتُه (fs)	بَرِيئتَيْن / بَرِيئتَيْنُه (fd)	بَرِيئات / بَرِيئاتُه (fp)	X+' / X+'u#h|||X+}ayon / X+}ayonu#h|||X+}iyn / X+}iynu#h|||X+}ap / X+}i#tu#h|||X+}i#tayon / X+}i#tayonu#h|||X+}At / X+}Atu#h	PROB	MS`CLITICS	
#o'-con	شَيء	شَي	NOUN	شَيء / شَيءُه (ms)	شَيئَيْن / شَيئَيْنُه (md)	-	-	-	-	X+' / X+'u#h|||X+}ayon / X+}ayonu#h|||X+}iyn / X+}iynu#h|||X+}ap / X+}i#tu#h|||X+}i#tayon / X+}i#tayonu#h|||X+}At / X+}Atu#h	PROB		
#o'-con	كُفء	كُف	ADJ	كُفء / كُفءُه (ms)	كُفئَيْن / كُفئَيْنُه (md)	-	-	-	-	X+' / X+'u#h|||X+}ayon / X+}ayonu#h|||X+}iyn / X+}iynu#h|||X+}ap / X+}i#tu#h|||X+}i#tayon / X+}i#tayonu#h|||X+}At / X+}Atu#h	OK		
#w'	سُوء	سُو	NOUN	سُوء / سُوءُه (ms)	سُوءَيْن / سُوءَيْنُه (md)	-	-	-	-	X+' / X+'u#h|||X+'ayon / X+'ayonu#h||||||||||||	OK		
#a>	خَطَأ	خَطَأ	NOUN	خَطَأَأ / خَطَأَأُه (ms)	خَطَأَأَيْن / خَطَأَأَيْنُه (md)	-	-	-	-	X+a> / X+a>u#h|||X+a>ayon / X+a>ayonu#h|||X+}iyn / X+}iynu#h|||X+a>ap / X+a>i#tu#h|||X+a>i#tayon / X+a>i#tayonu#h|||X+|t / X+|tu#h	PROB	STEM	
#a>	مُعَبَّأ	مُعَبّ	ADJ	مُعَبَّأ / مُعَبَّأُه (ms)	مُعَبَّأَيْن / مُعَبَّأَيْنُه (md)	مُعَبّئِين / مُعَبّئِينُه (mp)	مُعَبَّأَة / مُعَبَّأتُه (fs)	مُعَبَّأتَيْن / مُعَبَّأتَيْنُه (fd)	مُعَبّآت / مُعَبّآتُه (fp)	X+a> / X+a>u#h|||X+a>ayon / X+a>ayonu#h|||X+}iyn / X+}iynu#h|||X+a>ap / X+a>i#tu#h|||X+a>i#tayon / X+a>i#tayonu#h|||X+|t / X+|tu#h	OK		
#a>	أَسوَأ	أَسوَأ	ADJ_COMP	أَسوَأَأ / أَسوَأَأُه (ms)	-	-	-	-	-	X+a> / X+a>u#h|||X+a>ayon / X+a>ayonu#h|||X+}iyn / X+}iynu#h|||X+a>ap / X+a>i#tu#h|||X+a>i#tayon / X+a>i#tayonu#h|||X+|t / X+|tu#h	PROB	STEM	
#iy @collective	تَقاوِي	تَقاو	NOUN	تَقاوِي / تَقاوِيه (ms)	تَقاوِيَيْن / تَقاوِيَيْنُه (md)	-	-	-	-	X+iy / X+iyu#h|||X+iyayon / X+iyayonu#h||||||||||||	OK		
#iy	أَرض	أَراض	NOUN	أَراضِي / أَراضِيه (mp)	-	-	-	-	-	X+iy / X+iyu#h|||X+iyayon / X+iyayonu#h||||||||||||	OK		
#iy	أُغنِيَة	أَغان	NOUN	أَغانِي / أَغانِيه (fp)	-	-	-	-	-	X+iy / X+iyu#h|||X+iyayon / X+iyayonu#h||||||||||||	OK		
#iy	مَطافِي	مَطاف	NOUN	مَطافِي / مَطافِيه (ms)	مَطافِيَيْن / مَطافِيَيْنُه (md)	-	-	-	-	X+iy / X+iyu#h|||X+iyayon / X+iyayonu#h||||||||||||	OK		
#iy	خالِي	خَوال	ADJ	خَوالِي / خَوالِيه (mp)	-	-	-	-	-	X+iy / X+iyu#h|||X+iyayon / X+iyayonu#h||||||||||||	OK		
#iy	شِي	اِش	NOUN	اِشِي / اِشِيه (ms)	اِشِيَيْن / اِشِيَيْنُه (md)	-	-	-	-	X+iy / X+iyu#h|||X+iyayon / X+iyayonu#h||||||||||||	OK		
#iy	غِذا	أَغذ	NOUN	-	-	-	أَغذِيَة / أَغذِيتُه (mp)	-	-	|||||||||X+iyap / X+iyi#tu#h||||||	PROB	FIXED	
-	أَحَد	أَحَد	NOUN	أَحَد / أَحَدُه (ms)	أَحَدَيْن / أَحَدَيْنُه (md)	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	سَنَة	سَن	NOUN	-	-	-	سَنَة / سَنتُه (fs)	سَنتَيْن / سَنتَيْنُه (fd)	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	سَنَة	سَنَو	NOUN	-	-	-	-	-	سَنَوات / سَنَواتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	أُمّ	أُمّ	NOUN	أُمّ / أُمُّه (fs)	أُمَّيْن / أُمَّيْنُه (fd)	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	أُمّ	أُمَّه	NOUN	-	-	-	-	-	أُمَّهات / أُمَّهاتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
@collective	أَسمَنت	أَسمَنت	NOUN	أَسمَنت / أَسمَنتُه (ms)	أَسمَنتَيْن / أَسمَنتَيْنُه (md)	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h||||||||||||	OK		
ACTPART	آهِل	آهِ#ل	ADJ	آهِل / CHECK (ms)	آهلَيْن / CHECK (md)	آهلِين / CHECK (mp)	آهلَة / CHECK (fs)	آهِلتَيْن / CHECK (fd)	آهلات / CHECK (fp)	X+Ø / X+CHECK-ZERO|||X+ayon / X+CHECK-ZERO|||X+iyn / X+CHECK-ZERO|||X+ap / X+CHECK-ZERO|||X+i#tayon / X+CHECK-ZERO|||X+At / X+CHECK-ZERO	OK		
ACTPART	بادِئ	بادِ#ئ	NOUN	بادِئ / CHECK (ms)	-	-	-	-	-	X+Ø / X+CHECK-ZERO|||X+ayon / X+CHECK-ZERO|||X+iyn / X+CHECK-ZERO|||X+ap / X+CHECK-ZERO|||X+i#tayon / X+CHECK-ZERO|||X+At / X+CHECK-ZERO	PROB	fixed	
@collective	صابُون	صابُون	NOUN	ماس / ماسُه (ms)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h||||||||||||	PROB	fixed	
-	ناسِي	ناسِ#ي	NOUN	ناسِي / ناسيُه (ms)	ناسيَيْن / ناسيَيْنُه (md)	ناسيِين / ناسيِينُه (mp)	ناسيَة / ناسِيتُه (fs)	ناسِيتَيْن / ناسِيتَيْنُه (fd)	ناسيات / ناسياتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	إِسلام	إِسلام	NOUN	إِسلام / إِسلامُه (ms)	إِسلامَيْن / إِسلامَيْنُه (md)	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	آل	آل	NOUN	آل / آلُه (ms)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	صاحِب	صاحِ#ب	NOUN	صاحِب / صاحبُه (ms)	صاحبَيْن / صاحبَيْنُه (md)	-	صاحبَة / صاحِبتُه (fs)	صاحِبتَيْن / صاحِبتَيْنُه (fd)	صاحبات / صاحباتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK	FP	
-	آخَر	آخَر	ADJ	آخَر / آخَرُه (ms)	آخَرَيْن / آخَرَيْنُه (md)	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	PROB	FIXED	
-	أَبيَض	بَيضا	ADJ	بَيضا / بَيضاه (ms)	-	-	-	-	-	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
-	بَلبَلَة	بَلبَل	NOUN	-	-	-	بَلبَلَة / بَلبَلتُه (fs)	بَلبَلتَيْن / بَلبَلتَيْنُه (fd)	بَلبَلات / بَلبَلاتُه (fp)	X+Ø / X+u#h|||X+ayon / X+ayonu#h|||X+iyn / X+iynu#h|||X+ap / X+i#tu#h|||X+i#tayon / X+i#tayonu#h|||X+At / X+Atu#h	OK		
